stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.37,0,0,0,0,0,5.09,0,0,13.28,0,0,0,0,0,0,0
 10-12,0,0,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.33,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,9.11,5.28,0.97,5.18,0,2.07,0,0,0,0,2.82,0,0,0,0,0,0,0,62.05,0,0,79.47,44.43,14.55,0,0,0,0,0,0,3.42,3.24,0,16.49,831.03,0,0,2.82,0
 24-34,0,10.49,5.92,6.03,7.36,0,1.68,0,0,7.17,15.33,0,0,0,0.7,0,0,0,0,276.5,0,0,212.65,266.21,0,0,0,10.77,0,0,0,1.03,9.15,1.5,0,767.83,0,0,36.58,0
 36-46,0,2.2,0,6.39,0,0,2.88,0,44.87,194.11,1.34,0,0,0,0,0,0,0,5.39,527.13,0,0,125.42,215.57,0,0,1.5,0,0,1.94,0,0,6.53,0,0,373.41,0,0,9.43,0
 48-58,0,0,0,0.58,0.46,0,19.1,0,52.68,853.92,3.8,0,5.29,0,0,2.21,0,0,0,1043.09,0,0.58,147.63,182.06,0,0,8.11,0,0,0,0,0,0.5,0,0,96.72,0,0.44,9.1,2.52
 60-70,0,0,0,4.41,0,0,21.77,0,63.89,944.11,5.38,0,0.6,0,0,0,0,3.59,0,1210.46,0,0.64,45.48,148.14,0,0,8.54,0,0.66,0,0,0,1.21,0,0,3.92,0,18.66,11.05,1.99
 72-82,0,0,0,8.11,6.67,0,62.08,0,46.99,1655.83,14.09,3.81,1.87,1.76,0.5,0,0,1.73,0,1969.18,0,16.26,98.01,154.55,0,0,5.55,0,6.72,4.1,0,0,6.32,0,0,8.38,0,51.8,90.66,49.12
 84-94,0,1.01,0,6.65,13.12,4.42,97.76,0,28.53,1063.34,19.41,1.46,1.82,0,1.73,3.6,2.64,0,0,1759.69,0.86,17.32,67.53,110.11,0,0.93,3.73,0,0,3.06,0,0,4.53,0,0,5.54,0,80.21,112.67,16.99
 96-106,4.49,0,0,22.35,4.17,3.8,100.8,0.74,7.94,1331.36,28.88,6.23,6.36,2.46,1.23,8.43,0,7.47,0,1749.17,1.66,14.91,44.23,189.95,0.62,4.18,7.23,0,16.31,0.6,0,0,16.68,0,0,4.54,1.88,61.26,131.45,78.59
108-118,0,0,0,1.5,0,0,38.69,0,22.82,1038.49,12.69,0,2.48,3.74,1.94,19.8,1.14,0.6,0,2160.6,0,17.37,76.02,99.79,0,0.95,13.03,0,3.72,1.72,0,0,8.98,0,0,5.19,3.17,137.48,115.17,70.58
120,0,0,0,16.92,0,0,30.8,0,16.51,868.9,36.8,9.62,6.58,0,0,0,0,0,0,1497.37,0,1.45,38.83,146.76,0,0,16.74,0,8.63,5.03,4.99,0,0,0,0,0,0,82.99,167.3,84.27
