stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,17.01,126.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,158.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98,0,0,0,0,0,0
  7-9,6.61,21.22,4.8,0,3.31,0,0,0,0,0,0,0,0,0,0,83,0,0,30.11,0,0,3.79,0,0,0,0,0
 10-12,0,4.98,4.42,0,0,0,0,0,0,0,0,0,0,0,0,69.99,11.69,0,17.43,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.91,0,0,0,0,0,0,0,0,1.25,0,0.83,52.98,0,0,0,0,0,0,2.17,13.04,0,0,0
 24-34,0,0,0,0.6,4.66,0,0,8.67,0,0.74,0,0,6.69,0,0.65,75.6,0,0,0,0,0,0,0,15.69,0,0.64,1.7
 36-46,0,0,0,0,10.08,0,0,1,0,0,0,0,4.55,0,1.19,30.28,0,0,0,0,0,0,0,16.01,0,0,0
 48-58,0,0,0,0.53,3.67,0,0,1.98,0,0,0,0,0.37,0,0,12.11,0,1.25,0,0,0,0,0,2.17,0,0,0
 60-70,0,0,0,0,2.21,0,0.85,1.93,0,0,0,0,3.57,5.29,0,9.2,0,0,0,0,0,0,0,2.64,0,0,0
 72-82,0,0,0,0,3.38,0,0,3.43,1.18,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,2.86,0.75,0,0
 84-94,0,0,0,0,7.22,1.1,0,5.92,0,0,0,0,1.5,0,0.82,4.07,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.58,0,0,0.73,0,0,1.14,0,6.64,0,0,3.95,0,0,0,1.47,0,0,0,0,0,0,0
108-118,0,0,0,0,8.3,0,0,5.47,0,0,0,0,0.91,0,0,5.59,0.67,2.89,0,0,0,0,0,0,0,0.96,0
120,0,0,0,0,0,0,0,16.98,0,0,0,1.62,0,0,0,13.28,0,0,0,0,0,0,0,0,0,1.66,0
