stage,epidermis,erythrocytes,eye,immune,mesenchyme,mural_cell,neural,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,3.79,0,0,0,0
 10-12,0,0,0,0,0,0,8.53,0,0,0,0
 24-34,0,0,1.15,164.5,2.83,0,18.62,0.66,0,0,0
 36-46,0.96,43.93,0,615.07,1.37,0,5.75,0,0,0,0.76
 48-58,0,0,1.58,325.69,8.16,0,14.5,0,0.65,0,0
 60-70,0,0,8.78,542.71,0.83,5.29,7.81,0,0,0,0
 72-82,0.72,0,0,337.52,1.96,0,5.44,0,0,1.82,0
 84-94,0,0,1.7,130.06,0,0,1.14,0,0,0,0
 96-106,0,0,1.2,56.5,2.12,0,6.77,0,0,0,0
108-118,2.21,3.95,0.68,56.16,0.42,0,1.57,0,0,0,0
120,0,0,0,439.97,0,0,2.36,0,0,0,0
