stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,24.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.98,0,0,0,9.28,0,3.78,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.07,0,0,0,0,0,0,0,14.26,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.82,201.17,0,0,0,0,0,0,1.07,9.58,1.68,0,0,0,0,2.92,0,0,2.44,61.28,0.81,0,0,1.19,0,4.36,0.99,28.5,0,0.83,1.72,0,0,75.59,0
 24-34,0,0,0,0.79,11.2,31.97,1.25,0,0,0,0,0,10.92,17.43,5.6,2.82,11.45,0,0,20.69,0,0,8.92,22.95,0,1,8.2,0,0,0,0,10.69,0,1.28,1.92,0,0,350.21,0
 36-46,0,0,0,0,1.98,0,4.07,0,0,0,0,0,5.6,37.03,1.24,5.57,17.39,0,0.86,19.52,0,0,10.79,36.06,0,0.8,0,0,0,0,0,4.18,3,0,3.29,0,0,106.36,0
 48-58,0,0,0,0,7.51,1.08,7.51,0,0,0,2.38,0,7.98,31.54,2.47,3.73,15.55,2.75,0.38,34.75,0,0,11.9,57.39,0.6,1.16,0.4,0,0,0.66,0,2.01,0,0,17.08,0,0,139.33,0
 60-70,0,0,0,0,11.77,5,26.56,0,0,0,27.83,0.62,3.88,64.1,6,7.98,11.12,0,0,87.74,0,0.88,4.02,41.78,0.66,0.58,0,0,2.63,8.02,0,1.64,0,0,14.33,0,0,63.21,3.47
 72-82,0,0,0,0,23.14,0,10.27,0.65,0,0,16.95,7.51,5.92,46.35,0,14.99,14.41,0,0,117.35,0,1.61,10.68,85.52,1.23,1.77,2.43,0,0,8.13,0,17.68,0,0,0.61,0,0,133.85,6.92
 84-94,0,0,1.6,0,12.19,0,12.62,0,0.56,0.77,11,15.4,11.94,73.38,3.31,7.11,13.93,0,0,63.25,0,2.49,16.33,14.76,0,1.61,0,0,8.52,4.23,0,2.43,0,0,7.26,0.83,1.76,134.43,0
 96-106,2.25,0,0,1.36,39.89,0,34.45,6.3,2.6,0,16.93,39.2,9.91,126.07,7.57,15.89,40.71,5.65,0,98.97,0.63,2.94,8.35,53.89,0,10.43,3.99,0,8.72,55.18,0.76,1.33,0,0,1.69,0.56,1.87,169.94,2.08
108-118,0,0,0,0.75,27.16,0,16.4,0,0,0,3.87,26.87,2.49,103.69,5.58,22.86,16.08,0,0,113.23,0,1.39,21.83,28.41,0.54,6.65,3.23,0,1.76,27.19,0,3.95,0,0,0,0.6,2.28,154.9,10.54
120,0,0,0,1.66,45.06,0,0,0,4.2,0,0,19.62,1.17,170.22,9.66,20.89,29.64,5,0,108.12,1.04,6.37,26.17,57.32,0,3.87,2,0,10.01,12.46,0,5.09,0,0,0,0,6.07,203.15,0
