stage,blastomeres,fin_mesenchyme,mesenchyme,mural_cell,muscle,neural,pericytes,visceral_smooth_muscle
  3-4,16.83,0,0,0,0,0,0,0
  5-6,6.82,0,0,0,0,0,0,0
 24-34,0,0,1.25,0,0,0,0,0
 36-46,0,0,4.35,0,0,1.47,0,1.55
 48-58,0,0.72,2.78,0.72,0.64,2.96,0,0
 60-70,0,0,2.27,0,2.3,5.23,0,0
 72-82,0,0,2.46,2.69,0,4.28,0,0
 84-94,0,0,1.95,0,0,0,0,0
 96-106,0,0,0.64,0,0,3.14,3.99,0
108-118,0,0,1.29,0,0,1.69,0,0
120,0,0,0,0,1.5,10.32,0,0
