stage,blastomeres,epidermis,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,56.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0,0,1.85,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0,3.83,0,0,0,0,0.91,0,0.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.55,0,0,4.89,0,0,0,0,5.89,0,0,0
 48-58,0,0,0,0,0,1.12,0,0,0,0,0,0,1.77,1.11,0,2.97,0,0,0,2.74,0,0,0,0
 60-70,0,0,0,3.3,0,0,1.82,0,0,0,0.66,0,0,0,0,16.15,3,0,0,0,0,0,0,0
 72-82,0,0,0,15.81,0,0,1.18,0,0,0,0,0.72,6.84,5.67,0,6.62,0.75,0,0,0.5,0,0,0,0
 84-94,0,0,2.35,4.93,0,0,3.91,0,0,0.68,0,0,1.17,4.15,0,3.28,0,0,0.65,0,0,0,0,1.36
 96-106,0,3.5,0,4.45,0,0,2.84,0,0,0,0,0,7.34,0.62,0,10.44,0,0,5.97,0,0,0,0,0
108-118,0,5.38,0,13.93,4.23,2.36,0.58,0,0.54,1.82,0,0,7.75,3.09,1.37,7.1,0,1.1,0,2.18,0.51,0,0,0
120,0,0,1.09,11.15,0,2.39,0,0,0,0,0,0,1.43,1.69,0,12.28,0,0,0,0,0,0,0,0
