stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,143.47,5812.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.05,0,0,0,0,0,0,0,0,0
  5-6,417.16,5517.53,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0,320.61,15.73,0,0,26.95,60.93,0,0,0,0,0,0,0,0,0
  7-9,55.78,235.3,324.08,0,0,0,1091.62,0,0,0,0,179.39,0,0,0,0,0,0,0,0,0,7476.89,121.49,0,0,2262.76,0,38.39,0,0,0,0,0,0,0,0
 10-12,4.89,215.02,337.8,0,35.23,0,806.05,0,0,0,0,66.09,0,0,0,0,0,0,0,0,0,6188.03,82.23,0,0,2048.62,7.12,50.88,0,290.8,0,29.91,0,0,0,0
 14-21,0,0,9.87,41.44,26.47,0,50.44,0,0,12.09,0,1.97,0,0,1.77,0,0,1.15,41.21,0,23.15,742.39,10.96,2.47,3.92,12.61,12.73,0,58.4,2.44,1.83,27.51,185.73,0.96,0,0
 24-34,0,0,0.68,6.48,21.23,0,136.59,0,0.63,14.5,0,0,0.69,1.54,2.43,0,0,0.61,61.57,0,16.56,1146.85,1.07,6.2,4.4,0,10.17,0,0.93,0,0,2.16,194.4,25.52,0,0
 36-46,0,0,0,4.15,3.13,0,155.57,0,0.95,7.46,0.56,0,0,2.15,0,0,0,0,36.11,0.88,11.79,495.59,3.16,2.84,0,0,1.51,0,0,0,0,0,119.99,1.41,0,0
 48-58,0,0,0,9.39,0,0,194.49,1.02,2.07,20.94,0,0,0,4.34,0.48,0.38,0,0,35.47,0.44,6.33,218.37,1.14,2.01,1.76,0,0,0,0,0,0,0,25.01,2.45,0.48,7.38
 60-70,0,0,0,3.57,5.21,0,130.42,0,0,16.14,1.92,0,0,0,5.28,0,0,0,22.92,0,8.43,96.48,0,0,0,0,0,0,0,0,0,0,5.84,1.61,0,0
 72-82,0,0,0,3.7,0,0.76,36.75,0,1.25,11.29,6.58,0,0,2.73,1,0,0,0,24.26,0.88,1.31,56.66,0,0,0,0,0,0,0,0,0,0,3.48,12.45,0,0
 84-94,0,0,0,2.6,1.51,0,48.76,0,0,10.54,2.05,0,0,2.84,1.2,0,0,0,23.12,0.66,5.67,49.08,2.33,1.73,1.45,0,0.56,0,0,0,0,0,1.95,1.9,0,0
 96-106,0,0,0,5.22,0,0,17.97,0,0,7.72,0,0,0,10.9,0,0,0,0,17.78,0,1.92,32.3,0,0,7.23,0,0,0,0,0,0,0,3.74,5.34,0,0
108-118,0,0,0,1.41,0.46,0,23.03,0,0,10.23,0,0,0,8.56,0,0,0,0,11.33,1.15,2.37,70.04,1.24,0.95,0.89,0,0.83,0,0,0,0,0,0,3.2,0,0
120,0,0,1.28,2.29,3.85,0,19.79,0,0,13.71,0,0,0,28.19,0,0,7.05,0,5.67,0,4.49,57.47,0,0,0,0,0,0,0,0,0,0,0,35.69,0,0
