stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,60.59,0,0,0,0,0,0,0,0,0,0,0,0,0,12.01,0,0,0,0,0,17.45,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,0,7.46,0,0,0,0,0,0,0,0
 14-21,0,0,14.71,1.85,5.6,0,7.31,0,0,0,0,0,3.7,1.89,96.41,0,1.1,0,2.72,0,6.82,17.9,8.95,20.97,1.25,0,0
 24-34,0,0,6.28,0,5.19,0,0,0,0,0.73,0,0,3.69,0,113.47,0,0,0,0,0,9.02,0,0,22.78,1.75,0,1.93
 36-46,0,0,1.07,0,8,0,7.57,0.56,0,0,0,0,6.16,1.02,69.96,0.66,0,0,0,0,25.96,0,0.69,21.96,0,0,0
 48-58,0,0,0,0,19.49,0,6.54,0,0,0,1.04,0.41,2.99,1.8,38.42,0,1.06,0,0,0,11.03,0,0,7.89,0,0,0
 60-70,0,0,1.65,0,26.2,0,1.48,0,0,0,0,0,1.19,0,31.85,0,0,1.12,0,1.44,3.3,0,0,4.18,0,0,0
 72-82,0,0,0,0,17.07,0,7.79,0,0.68,1.53,0,0,2.97,0,35.16,0,1.18,0,0,0,7.14,0,0,1.68,0,0,0
 84-94,0,0,5.24,0,6.83,0,1.19,0,0,0,0,0,2.01,0,14.62,0,0,0,0,0,26.02,0,0,0,0,0,0
 96-106,0,0,0.62,0,7.45,1.1,0.61,0,0,0,1.14,0,0.59,0,7.23,0,2.73,0,0,0,15.13,0,0,0,0,0.68,0
108-118,0,0.74,3.07,0,16.55,0,0,0,1.77,0,0,0,0,0,11.25,0,0,1.58,0,0,19.36,0,0,2.99,0,0,0
120,0,0,0,0,0,0,0,0,0,3.81,0,0,5.55,0,22.88,3.89,0,0,0,0,0,0,0,0,0,0,0
