stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,73.27,143.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,60.65,0,0,0,0
  7-9,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.22,0,12.1,0,7.15,0,0,0,0
 10-12,0,5,0,0,0,7.04,0,0,0,0,3.5,0,0,0,0,0,0,0,0,50.13,0,39.65,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0.88,0,0,0,18.37,1.11,0,0,0
 24-34,0,0,0.65,0.77,0,1.59,1.98,0,0,0,0,0,0,0,0,0.61,0,0,1.38,6.01,0.75,0,0,92.19,1.18,0,1.91,0
 36-46,0,0,0,0.75,0,0,1.03,0,0,0,2.19,0,0,0,0,0,0,0,0,5.8,0.63,0,0,134.44,0,0,0,0
 48-58,0,0,0,0.37,0,0.46,2.12,0.42,0,0,0,0,1.04,0,0,0,0,2.28,0,7.59,0,0,0,142.01,1.98,0,0,3.12
 60-70,0,0,0,4.69,0,6.34,0.94,0,0,0,0,0,0,0,0,0,0,1.01,0,9.08,0,0,0,191.84,0.87,0,0,0
 72-82,0,0,0,8.57,0,6.42,2.01,0,0,0,0,0,0,0,0,0,3.17,2.12,0,7.74,0.49,0,0.59,184.64,0,0,4.76,0
 84-94,0,0,0,16.62,0,2.73,3.34,0,0,2.02,0,2.52,9.34,0.62,0.66,0,3.06,3.06,0,15.77,0,0,0,617.64,2.01,0.61,2.84,0
 96-106,0,0,0,24.5,2.19,3.22,10.65,0,1.14,0.66,0,0,4.51,0,1.33,1.58,6.49,4.05,1.04,11,1.02,0,0,525.95,1.83,0.83,0,2.21
108-118,0,0,0,22.79,0,0,9.09,0,0,1.61,0,2.57,11.75,0,0,1.26,1.86,3.86,0,6.09,1.91,0,0,390.94,3.28,1.48,0,0
120,0,0,0,46.84,0,4.97,27.69,0,0,2.91,0,4.84,7.09,0,0,2.78,0,6.4,0,12.66,0,0,0,342.11,0,0,0,0
