stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,61.13,707.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.07,0,0,0,0,0,0,0,0,0
  5-6,42.9,632.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,56.06,32.02,0,47.57,0,0,0,121.35,0,0,0,0,0,58.68,0,0,0,0,0,0,0,0,0,0,0,1161.7,44.14,0,0,535.41,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,45.03,0,61.11,0,0,0,112.85,0,0,0,0,0,42.94,0,0,0,0,0,0,0,0,0,0,0,1211.77,14.87,0,0,576.17,0,0,16.45,79.94,8,0,0,0,0,0,0
 14-21,0,1.36,0,3.24,24.48,15.67,0,18.19,0,0,0,2.63,0,0,1.3,0,2,0,0,1.76,0,31.07,0,0,8.47,312.52,3.39,2.03,3.97,10.33,0,4.59,41.39,1.37,37.4,100.27,0,0,0.95,0,0
 24-34,0,0,1.29,1.41,10.17,5.13,0,82.85,0,0,0,8.69,0,0,1.64,12.19,0.63,3.42,0,0,0.65,78.86,0,0,18.38,738.3,1.3,22.46,1.94,0,0,9.29,0,0,1.29,148.9,0,0,5.89,0,27.41
 36-46,0,0,0,0.84,4.81,1.31,0,155.74,0,0,0,14.92,0,0,1.87,1.46,0,0,0,1.74,0,43.34,0,0,15.26,481.9,0,15.68,1.14,0,0,2.5,0,0,0,104.57,0,0,11.33,0,8.93
 48-58,0,0,0,0,7.8,0,0,218.77,0,0,3.16,29.39,0,0,0.4,0.85,0,0.38,0.72,2.15,0,50.72,0,2.43,7.49,337.76,0,21.95,5.76,0,0,6.91,0,0,0,50.41,0,0,8.17,0,4.39
 60-70,0,0,0,0,3.88,0,0,196.52,0,10.89,1.9,15.17,0,0,0.69,0.72,0,2.76,0,3.3,0,38.17,0,3.97,1.21,285.91,0,16.28,1.12,0,1.22,2.69,0,0,0,40.69,0,0,2.48,0,0
 72-82,0,0,0.78,0,12.32,13.46,0,232.49,0,0,4.99,23.26,2.37,0,0,0,0,0,0.49,1.03,0,74.43,0,2.62,11.53,254.35,0.58,37.57,2.22,0,0,4.19,0,0,0,26.85,0,0.89,45.59,0,4.88
 84-94,0,0,0,0,8.55,3.44,0,174.18,1.17,0.62,2.57,21.26,3.51,0,3.2,3.74,1.09,0.66,3.25,1.93,0,69.31,0,1.77,4.31,251.14,3.81,24.61,2.02,0,0,1.44,0,0,0,20.87,2.36,1.13,12.53,0,0
 96-106,0,0,0,0,13.36,11.65,0,178.99,0,0,5.15,27.23,3.57,0,4.99,6.92,1.06,2.11,1.15,2.16,0,63.14,0,1.82,11.23,219.02,0,46.89,5.49,0,1.92,5.45,0,0,0,21,1.48,0,9.19,0.96,6.78
108-118,0,0,0.76,0,33.52,3.91,1.7,129.16,0,1.25,1.06,42.01,5.97,0,0,5.51,3.41,3.74,0.78,0.43,2.74,71.55,1.01,0.75,10.37,322.19,2.68,23.51,4.84,0,2.24,7.32,0,0,0,8.37,0.9,0,12.15,0.92,0
120,0,0,0,1.66,28.33,0,2.68,181.4,0,1.09,0,33.15,0,0,2.11,3.13,2.02,8.18,0,0,0,74.5,0,0,18.6,357.53,0,21.42,3.1,0,4.76,3.97,0,0,0,14.46,0,0,12.06,0,0
