stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,48.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,11.52,0,0,0,0,0,0,0,70.11,0,0,0,19.07,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,29.95,0,0,3.54,0,0,0,0,0,0,0
 14-21,0,1.83,3.52,0,5.7,0,0,7.48,0,1.1,0,0,0,5.12,0,6.86,111.09,0.8,0,0.94,0.92,0,1.71,1.77,5.74,23.37,0,0,0,0,0
 24-34,0,0,0,0,7.34,0,0,2.71,0,0,0,0,0,4.09,0,1.34,91.79,0,0.79,0,0,0,0,0.76,0,13.09,0,0,7.17,0,0.77
 36-46,0,0,0,0,14.34,0,1.17,1.6,0,0,0,0.66,8.41,6.82,0,0,93.65,0,0.92,0.72,0,1.49,0,0,0,20.02,0,0,0.9,0,0
 48-58,0,0,0,0,21.99,0.51,1.37,4.97,0,0,5.26,0,0,2.96,0,0,37.44,0.49,0,0,0,2.67,0,0,0,4.98,0,0,0.87,0,0
 60-70,0,0,0.78,0,12.73,0,1.34,14.35,0,0,3.2,1.06,0,16.88,0.93,1.7,31.01,1.36,0,0,0,0,0,0,0,6.31,0,0,0,0,0
 72-82,0,0,0.63,0,13.76,0,3.55,7.4,0,0,0.49,0,0,9.53,0,0,15.17,0,0,2.28,0,0,0,0,0,5.38,0.68,2.22,0.89,0,0
 84-94,0,0,3.75,0.58,6.77,0,2.18,5.9,0,0,0,0,0,19.74,0,0,5.65,0,0,0,0,2.99,0,0,0,4.8,0,0,0,2.23,0
 96-106,0,0,0,0,0.73,0,0.82,2.72,0,0,0.56,0,0,4.45,0,0,12.66,0,0,0,0,0.98,0,0,0,0,0,0,2.76,0,0
108-118,0,0,0,0.76,7.82,0,0,9.09,0,0,0,0,0,20.97,0,3.14,25.36,0,0.84,0,0,3.84,0,0,0,0.62,0,0,0,0,0
120,0,0,2.13,0,1.67,0,0,9.54,0,0,0,0,0,0,0,0,14.92,0,0,0,0,0,0,0,0,0,0,0,8.54,0,0
