stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.39,0,0,0,0,0,0,0,0,0,0,1.97,0,0,3.13,1.98,0,0,0,0,0,5.07,24.91,0,0
 24-34,0,15.23,0,0,0,0,0,0,1.45,0,0,5.2,9.61,8.32,0,6.35,6.02,1.84,0,0,0.86,0,0.67,175.45,0,0
 36-46,0,4.31,0,0.85,0,0,0,0,0,0,0.61,0,10.53,0,0,2.17,15.52,3.3,0,0,0.73,0,0,118.84,0,0
 48-58,0,7.79,0,1.03,0,0,0,0,0,0,12.73,0,8.6,0,0,3.53,13.86,0,0,0,1.28,0,0,159.51,0,0
 60-70,0,8.96,0,0,0,0,0,0,0,0,5.14,0,8.42,0,0,0,0,0,0.9,0,5.04,0,3.73,52.96,0,0
 72-82,0,3.92,0,3.02,0,0,3.21,0,1.32,0.53,14.27,0,21.82,0,0,0.63,1.52,0.56,0,0,10.63,0,0,207.04,0,0
 84-94,0,12.96,0,0,0,0.77,0,0.57,0,0,33.99,0,27.53,0,0,0,3.28,0,0.78,0,28.97,1.48,0,218.28,0,0
 96-106,0,2.67,1.05,2.55,6.32,0,8.39,0,0,0.59,55.9,0,17.11,0,0,3.91,6.76,0,0,0.95,17.19,0,0.83,234.88,0.61,0
108-118,0,12.34,0,0,0,0,0,0.45,0,1.86,35.58,0.6,19.31,1.41,4.74,0,8.8,0.47,0,1.73,19.13,1.28,0,124.51,0,7.11
120,0,13.57,0,0,1.35,0,0,0,0,0,47.66,0,13.54,0,0,5.6,6.7,0,0,0,6.44,0,0,433.14,0,0
