stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,hatching_gland,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,27.12,90.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,66.11,623.29,0,0,0,0,0,10.93,0,0,0,0,0,0,7.54,0,0,0,16.61,8.41,0,0,0,0,0,0,0
  7-9,14.01,0,41.1,0,12.52,0,0,3.74,0,0,0,0,0,0,82.87,20.39,0,0,90.63,0,21.46,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0,0,0,0,0,0.84,0,0,0,1.69,19.01,0,0,0,0,0,2.85,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.46,4.13,9.23,0,0,5.11,0,0,1.11,0,0,0,0
 36-46,0,0,0,0,1.3,0,0,0,0,0,1.07,0,0,0,12.34,0,0,0,0,1.04,0,0,14.42,0,0,0,0
 48-58,0,0,0,0.42,3.84,2.8,0,0,1.29,1.23,0.61,0,0.93,0,20.8,0,0.92,0,0,6.31,0,0,0.84,0,0,0,0
 60-70,0,0,0,2.78,9.71,2.24,0,0,0,17.38,5.17,0.85,0.95,0.97,48.05,1.12,0,1.24,0,1.26,0,0,6.19,0,0,0,0.98
 72-82,0,0,0,2.43,28.03,3.05,0,0,20.19,29.57,10.03,2.82,1.98,0,31.06,0,0,0,0,16.82,0,0,1.2,0,0,0,0
 84-94,0,0,0,7.1,48.84,0,0,0.66,15.26,7.99,3.46,0,0,0,55.24,0,0,0,0,3.56,0,0,0,0,2.45,0,0
 96-106,0,0,0,13.44,39.58,2.09,12.24,0,3.89,76.03,4.26,0,0,2.05,13.08,0,0,0,0,14.63,0,0,0,0.6,0,8.63,0
108-118,0,0,0,12.57,8.12,0.99,0.94,0,24.24,21.98,6.11,2.15,0,0,2,0,0,0,0,11.52,0,0,0,0,2.13,0,0
120,0,0,0,4.2,11.18,0,0,0,36.71,3.77,0,1.56,0,0,16.96,0,0,0,0,4.16,0,0,0,1.9,0,0,0
