stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,957.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.42,0,0,0,0,0,0,0,0
  5-6,34.54,343.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.26,0,0,0,0,9.33,0,0,0,0,0,0,0,0
  7-9,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.32,0,0,0,14.49,5.78,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.38,91.5,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.15,1.1,0,3.32,0,0,0,0,1.69,0,0,0.88,0,0,0,0,0,0,0,0,7.7,271.82,1.08,0.84,0,67.79,0,1.66,5.21,0,0,0,0,0
 24-34,0,0,2,0,0,13.5,0,0,0,0.97,0,0,0,9.54,0,2.82,0.79,0,1.44,0.87,0,0,11.89,35.44,5.57,2.77,0,141.94,2.11,0,8.49,0,0,4.21,0,0
 36-46,0,0,11.41,2.52,0,17.11,0,0,0,1.25,0,1.05,0,3.15,0,0.61,1.5,0,1.54,1.35,0,0.96,33.01,30.1,0,5.75,0,182.74,2.13,0,1.66,0,0,1.89,0,1.11
 48-58,0,0,11.41,0,0,47.83,0,3.74,0,11.59,0,0,0,7.9,0,3.51,1.37,0,7.6,3.02,0,0.96,37.79,36.04,2.25,1.64,0,103.33,0,0,15.15,0,0,4.05,0,4.91
 60-70,0,0,3.48,0.69,0,59.76,0,0.64,0,61.38,3.96,0,0,1.13,0,4.14,0,0,11.51,0.75,0,0,58.02,18.62,0,6.45,0,90.15,1.95,0,22.94,0,0.9,5.69,0,11.24
 72-82,0,0,6.09,5.46,0,73.49,2.27,0.83,0,85.34,11.39,0.51,0,7.79,0,2.45,0.62,0,16.08,0.95,1.81,0,76.65,6.05,0.49,4.51,0,98.65,0.64,0,8.39,0,0.85,0,0.99,0.89
 84-94,0,0,5.87,1.47,1.52,87.22,1.99,2.29,0,81.68,24.37,0,0.74,4.33,0.73,2.13,5.08,0,25.67,0,0.86,1.65,39.13,18.38,3.67,6.6,0,223.6,6.42,0,7.08,3.87,0,0,0,0
 96-106,0,0,8.05,2.11,0,72.84,0,3.75,2.33,128.37,34.34,0,0,3.78,1.69,7.14,8.18,0,13.39,1.76,0,1.48,75.19,13.71,3.15,9.3,0,191.32,1.37,0,4.31,5.33,0.66,8.79,1.58,0.91
108-118,0,0,8.99,10.6,1.11,116.26,1.55,5.53,0,128.98,43.67,0,0.83,13.28,1.28,5.23,4.14,0.53,15.83,1.42,0.83,0,110.85,9.24,3.15,5.4,0,201.23,2.9,0,13.52,1,0,2.62,0.79,7.36
120,2.82,0,26.82,1.39,1.89,61.36,0,6.02,0,199.93,92.14,0,0,7.05,1.59,21.49,4.14,0,15.86,2.58,0,1.09,159.16,34.28,1.46,43.65,0,117.3,4.81,0,15.94,0,0,1.23,0,0
