stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,395.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.31,87.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0,18.67,0,0,4.18,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,3.66,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,2.28,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,53.24,0,0,7.23,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,1.45,6.48,1.62,46,0,0,1.46,1.03,0,0,0,0
 48-58,0,0,0,0,0,0,0.77,0,0,0,1.16,0,2.08,0.38,1.29,0.99,0.46,35.65,0,0,1.92,2.02,0,0,0,0
 60-70,0,0,0,0,0,0,7.84,0,0,28.58,0,0,0,0,4.22,0,0.71,37.89,0,0,2.11,0,0.81,0,0,0
 72-82,0,0,3.05,0,3.89,0,0.94,0,0.86,6.25,0.52,0,0,0.72,7.55,5.59,0,62.24,0,0,1.66,4.06,11.24,0,0,0
 84-94,0,0,0,0,9.76,0,0,0,0,40.42,0,0,0,0,4.96,8.19,0,41.87,0,2.97,15.75,1.33,6.42,0,0,0
 96-106,0,0,4.72,0,6.47,10.48,11.64,0.59,1.16,92.43,0.86,0.75,0,8.1,5.39,27.72,0,83.1,0,5.75,8.67,1.49,67.74,2.02,0.65,13.78
108-118,0,0,1.86,0.42,14.59,0,2.76,0,3.41,68.57,3.21,0,6.77,0,13.67,16.58,0,41.69,0,0.89,9.67,1.33,69.81,0,0,0
120,0,0,0,0,15.9,0,19.98,0,0,39.85,0,0,0,0,10.21,0,0,21.02,0,0,14.55,0,25.49,6.69,0,0
