stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,222.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.01,72.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.67,5.8,0,0,37.21,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.72,0,0.83,0,0,0,1.2,1.5,0,0,0,0,0,0,3.56,0,0,0.9,5.82,1.79,0,2.17,0,0,0,4.21,0,0,1.14,4.27,0,1.07,0,0
 24-34,0,0,3.67,0,0,6.78,0,0.95,0,1.87,0,0,0,0,0,0,0,8.9,0,0,1.85,68.48,0,0.65,0.95,0,0,0,0,0.7,0,0,6.02,0,1.93,0,1.68
 36-46,0,0,19.41,0,0,6.01,1.3,0.64,0,5.53,0,0,0,0,0.61,0,0,9.73,0.65,0.98,0.64,87.62,0,3.41,12.53,0,0,1.49,0,0.56,0,0,13.96,0,2.81,0,1.54
 48-58,0,0,2.25,0,0,6.36,0,0.38,4.75,1.39,0,0,0.79,0,0,0,12.66,7.56,0,0,2,70.5,12.93,0.9,0.43,0,0,0,0,0.87,0,0,9.55,0,1.99,0,3.08
 60-70,0,0,0,0,0,21.88,1.48,2.14,1.79,3.57,1.75,0,0,1.43,0,4.89,0,10.53,0,0,4.49,85.47,0,0.72,6.89,0,0,0,0,0.6,0,0,16.8,0,0,0,3.39
 72-82,0,0,4.07,0,0,15.41,0,0,5.69,9.74,2.8,0,0,0,0,0,1.89,26.72,0,0,0.64,99.92,0,0,6.74,0,0,0,0,2.8,2.68,0,16.13,0,2.42,0,15.77
 84-94,0,0,5.34,0,0,23.21,1.21,0,0,18.44,5.73,0.73,3.96,2.4,1.47,1.13,0.58,12.32,0,2.74,2.24,44.46,2.83,2.41,1.44,0,0,0,0,3.18,0,0,3.49,0.88,0.58,0,0
 96-106,0,0,6.63,0,0,6.96,2.13,0.84,0,14.03,5.26,0,3.05,0.91,0,0.59,0.68,31.67,0,2.03,8.59,33,0,1.41,4.56,0,2.14,1.59,0,0.73,0,0,0,0,3.53,0.87,0
108-118,0,0,13.73,0.66,1.77,14.86,0.63,1.78,1.79,18.14,16.06,0,8.52,1.07,4.4,3.06,0.54,35.55,4.8,0,0.65,45.64,1.91,0.43,2.55,0,0,0,0,1.75,0.46,0,4.02,0,2.18,0,0
120,0,0,14.02,1.38,1.14,11.26,0,2.41,5.27,26.08,23.19,0,10.49,0,0,0,0,28.17,0,3.51,2.34,18.99,0,0,4.51,0,0,0,0,0,2.69,0,6.99,0,0,3.54,0
