stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord,taste,vasculature
 14-21,0.81,0,1.09,0,0,0,1.23,0,0,0,0,0,0.87,0,0,5.45,0,0,1.27,0,0
 24-34,0.71,0,5.53,0,0,0,0,0,0,1.21,0,0,2.08,0,0,32.42,0,0,3.13,0,0
 36-46,3.02,0,8.02,1.91,0,0,0,0,0,0,0,0,1.27,0,0.85,30.34,1.78,0,7.63,0,0
 48-58,2.49,0,11.39,0,0,0,6.67,0,0,0,0,0,6.53,0,0.42,25.28,0.43,6.89,5.52,0,0
 60-70,3.03,0.58,21.47,0,0,0.68,7.04,1.72,0,0,0,1.37,5.28,0,0,35.09,0,6.45,0,0,1.11
 72-82,6.66,0,4.43,0,0,0,2.79,0,0,0,0,0,3.92,0,0,17.98,1.43,0.54,0,0,0
 84-94,0,0,6.06,0,0,0,0,0.94,0.71,0,0,0,6.39,0,0,4.69,0,0,0,1.68,2.81
 96-106,0,0.8,0,0,1.07,0,0,0,0,0,0,0,8.02,2.72,1.03,15.04,0,1.44,0,0,0
108-118,1.96,0,1.17,0,0.58,1.52,5.44,0,0,0,0,0,1.71,0,0.55,29.02,0.42,3.1,0,0,1.01
120,7.07,0,5.05,0,0,0,8.74,2.68,0,1.36,3.91,0,24.07,0,0,26.68,0,2.13,0,0,0
