stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.84,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,6.46,0,0,0,0,0,0,0
 14-21,16.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06,0,0,12.68,0,0,0,0,0,0,0,9.28,0,0,0
 24-34,13.93,0,1.97,0,0.85,0,0,0,1.25,0,0,0,0,0,0,0,0,3.24,0,0.71,322.45,10.1,1.1,1.33,0,0,2.05,0,60.16,0,0,0
 36-46,5.17,0,2.72,0,2.27,0,0,0,1.76,0,0,0,0,0,0,0,0,22.75,0,4.51,480.31,0,17.67,1.76,0,0,2.38,0,65.18,1.04,3.08,0
 48-58,2.81,0,5.75,0,37.71,0,0,0,0.6,0,0,0,0,0,0,0,0,35.6,1.13,3.62,477.73,1.06,14.63,1.33,0,0,0,0.73,83.41,0.84,0.38,0
 60-70,1.6,0,0,0,88.77,0,0,0,9.72,0,0,0,0,0,0,0,0,81.55,4.85,2.78,606.08,0,17.29,1.16,0,0.97,0,0,87.74,0,11.9,0
 72-82,5.48,0,7.42,0,182.54,0,0,0.76,13.72,0.64,0.82,0,0,0,0,0,0,54.82,7.66,1.76,748.43,0,17.99,4.24,0,14.89,3.24,0,26.49,2.34,14.99,0
 84-94,6.97,0,8.24,0,139.45,0,0,0,3.24,0,0,0,0,0,3.19,0,0,35.77,2.88,3.41,496.26,0,10.81,10.44,0,4.58,1.53,0,16.15,0,5.53,1.59
 96-106,4.71,0,9.41,0,176.1,0,0,0,10.8,1.35,2.09,0,0.76,0.77,0,0,3.42,53.87,0,6.87,554.91,0,29.08,6.91,0,14.49,1.65,0,8.01,4.21,10.02,0.61
108-118,6.8,0,9.95,6.47,151.37,0.98,0,3,28.9,0.7,1.63,1.06,0,0,0,1.1,0,57.97,3.54,2.81,510.58,0.56,14.66,9.8,0,20.52,0.6,0,10.27,1.51,4.71,6.63
120,1.37,0,2.44,0,211.27,0,1.58,0,57.34,0,1.15,0,0,0,0,0,0,34.25,0,8.02,817.89,0,3.01,4.07,0,14.49,0,0,34.95,0,4.33,0
