stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,34.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0
  5-6,14.35,114.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.16,0,0,0,0,0,0,3.33,0,0,0,0,0,80.45,0,0,0,0,0,0,0,0,0,0,0,74.33,14.1,0,0,33.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.57,0,7.42,0,0,0,7.26,0,0,0,0,0,82.68,0,0,0,0,0,0,0,0,0,0,0,90.78,11.88,0,0,36.25,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.81,8.6,2.96,0,0,0,0,0,0,0,2.57,0,0,0,0,0,0,4.56,3.68,0,0,2.08,25.22,0,0,2.07,0,0,1.54,0,0,8.62,0,0,0,0,14.03
 24-34,0,0,0,1.9,4.09,0.76,0,3.45,0,0.64,0,1.7,0,5.79,0,0,0,9.12,0,0,10.64,5.77,4.46,0,6.01,54.66,0,0,1.28,0,0,0,0,0.73,11.44,0,0,0.72,0,73.54
 36-46,0,0,0,0,2.02,0,0,2.76,0,0,0,3.11,0.59,0,0,0,0,0,0,0,2.83,13.66,11.37,0,5.67,25.61,0,1.19,0,0,0,0.75,0,0,6.42,0,0,3.33,0,94.88
 48-58,0,0,0,0,0,0,0,8.64,0,0.81,0,5.41,0,1.45,0,0,6.13,0.85,0,0,2.32,16.39,27.29,0.75,5.17,43.5,0,0,0.67,0,0.97,3.04,0.4,0,9.32,0,0,0.48,0,225.17
 60-70,0,0,0,0,1.82,0,0,7.09,0.68,0,5.4,3.55,1.71,1.77,0,0,0,0,0,0,0,27.95,17.94,0.68,3.08,45.26,0.66,1.23,2.92,0,0,2.83,0,0,22.01,0,0,0.82,0,172.97
 72-82,0,0,0.5,0,0.98,0.56,0,7.3,0,0,0,7.06,5.03,0,0,0,2.1,0,0,0,1.95,21.91,42.15,0,3.02,25.2,0,1.11,2.8,0,0,0,0,0,0.63,0,0,0.71,0,176.14
 84-94,0,0,0,0,2.98,0,0.92,24.59,0,0,0,0.86,13.47,0.66,1,3.18,1.1,1.64,0.78,1.16,7.04,24.06,42.71,0,0,23.58,0,0,4.3,0,0,2.62,0,0,0,0,0.68,7.86,0,130.84
 96-106,0,0,0,0,3.74,1.55,1.71,29.05,0,1,1.42,5.06,19.19,0,0,0,1.08,0,0.79,0,0,13.28,58.63,0,2.43,29.31,0,0.59,0.57,0,0,9.55,0,0,0,0,0,4.69,0,146.22
108-118,0,0,0,0,2.68,0.94,48.44,4.38,0,1.21,0,1.76,33.84,0,0,0,1.19,6.33,1.02,8.21,0.9,20.02,77.43,0,0.97,23.42,0,0,1.83,0,0,3.68,0.48,0,2.55,1.3,0,2.24,2.12,256.87
120,0,0,0,0,7.32,0,12.24,27.06,0,0,0,6.44,29.18,5.2,0,2.35,2.56,0,0,1.89,0,25.9,41.48,13.74,0,38.48,0,0,6.39,0,0,2.15,0,0,0,0,0,0,0,90.7
