stage,blastomeres,endoderm,epidermis,glial,immune,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,somites,taste
  3-4,13.66,0,0,0,0,0,0,0,0,93.63,0,0
  5-6,19.56,0,0,0,0,0,12.95,0,0,81.78,0,0
  7-9,0,6.65,0,0,0,0,0,0,8.6,0,0,0
 10-12,0,4.27,0,0,0,0,12.19,0,11.24,3.3,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.1,0
 24-34,0,0,0,0,0.71,0,0,0,0,0,0,0
 36-46,0,0,0,0,2.23,0,0,0,0,0,0,0
 48-58,0,0,2.37,0,3.82,0,0,0,0,0,0,0
 60-70,0,0,0,0.68,8.58,0,0.66,0,0,0,0,0
 72-82,0,0,2.15,0,20.46,0,0,0,0,0,0,1.01
 84-94,0,0,0,0,48.06,0,0,0,0,0,0,2.09
 96-106,0,0,1.39,2.52,36.04,2.6,0,1.05,0,0,0,1.17
108-118,0,0,0.84,0,32.03,1.29,1.05,0.42,0,0,0,0.44
120,0,0,0,0,58.27,0,0,0,0,0,0,0
