stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.56,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
 14-21,2.7,0,0,1.13,0,5.63,0,0,0,0,0,0,0,0,2.02,6.09,0,0,0,0,0,0,0.99,0,1.81,13.44,0,0,0,0,0
 24-34,0,0,1.05,2.48,0,2.56,0,0,0,0,0,2.64,0,0,0,229.87,0,1.56,0.72,0,0,0.61,0,0,0,53.24,0,0,2.08,0,0
 36-46,0,0,0,39.91,0,2.88,0,0,0,0,0,1.42,0,0,0.82,480.73,0,4.01,0,0,0,0,0,0,0,84.05,0,0,0,0,0
 48-58,0,1.29,0.39,225.83,0,22.57,0,0,7.69,0,0,5.24,0,0,7.59,726.02,0,0.41,0.64,0,0,2.86,0,0,0,90.64,0,0,0,0,0
 60-70,0,9.04,0,583.7,0,5.84,0,0.58,0,0,0,10.63,0,0,1.77,868.93,0,0,0,0,1.19,0,0,0,0,126.3,0,0,0.87,0,0
 72-82,0,5.68,0,440.48,0,10.62,0,0,0,2.21,0.9,16.32,0,1.81,0,675.2,0,1.28,0.66,0,0,0,0,1.69,0,49.67,0,0,0,0,2.57
 84-94,0,6.9,0,288.47,6.06,17.51,0.98,0,0.93,0,0,9.68,0,1.03,0.59,441.31,0,1.79,0,0,0,4.57,0,0.64,0,45,0,0,4.15,0.91,0
 96-106,1.08,1.04,8.48,225.94,0,18.67,0,0,0,0,0.6,7.65,0,0,0.69,333.25,0,1.93,0,0,0,0,0,0,0,10.4,2.03,0,0,0,0
108-118,0,4.66,0,163.08,0,15.64,0,0,0,0,0,12,0.45,0,0,311.82,0,4.26,0,0,0,0,0,0,0,6.42,0,1.88,0.46,0,5.4
120,4.41,3.18,8.26,222.02,0,0,0,0,0,0,2.23,35.98,0,0,1.49,726.93,1.33,0,0,0,0,0,0,0,0,23.41,0,0,0,0,0
