stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,73.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,80.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,30.95,0,0,0,12.14,0,3.33,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.42,0,0,0,0,7.56,0,0,0,0,0,0,0,0,0,0,0,30.42,0,0,0,7.41,0,7.72,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0.93,0,0.94,0,0,0.84,10.96,0,0,0,0,0,3.57,0,0,5.79,0,0,0,0
 24-34,0,0,1.97,0,7.47,0,0,0,1.82,0,0,0,0,0,0,0,0,7.27,0,0,1.39,187.69,0,7.01,0.66,0,0,0.83,0,0,27.73,0,0,0,0
 36-46,0,0,0.75,0,15.27,0,0,0,12.39,0,0,0,0,0,0,0,0,11.83,0,0,0,510.71,0,3.39,0,0,0,0,0,2.28,32.15,0,0.65,0,0
 48-58,0,0,6.66,0,55.74,0,0,0.57,38.91,0,0,0,0,0,0.44,0,4.77,19.61,0,0,1.81,1252.19,0,4.17,0,0,0,0,0,0,62.97,0.51,0.5,0,4.08
 60-70,0,0,10.28,0,118.62,0,5.08,1.32,42.21,0,0,0,0,1.91,1.16,0,8.04,55.71,0,6.66,9.19,3030.46,0,10.03,0,0,0,0,0,0,110.3,0,0,0,0
 72-82,0,0.78,8.86,3.55,191.92,0,3.67,2.52,33.81,0,0,3.47,0,0,0,1.08,1.81,52.85,0,4.01,1.55,3642.9,0,5.5,1.16,0,1.4,14,0,0,147.87,1.69,0.98,6.02,1.84
 84-94,0,0,22.64,1.7,213.13,0,0.68,2.07,52.44,0,1.27,1.95,0,0.76,0.69,0,6.44,49.66,0.74,0,1.75,2467.41,0.65,3.36,1,0,2.3,1.31,1.49,0,70.22,4.61,0.84,2.2,6.39
 96-106,0,1.68,7.61,11.38,149.3,1.64,0,0,27.72,0,1.53,0.95,0.93,0,0,9.42,3.5,41.59,3.68,3.47,2.73,1804.96,0,9.27,1.58,0,1.51,2.33,0,0,53.27,3.56,9.27,4.08,9.74
108-118,0,0,13.75,3.23,94.98,1.3,0,1.32,49.66,0,0,0,0,0,0,0,18.65,33.88,0,1.5,0.49,2427.8,0,0.6,0.78,0,1.32,1.62,0,0,40.66,0,0,7.29,3.24
120,0,0,27.71,1.31,135.03,0,0,0,19.61,0,0,5.67,0,1.11,0,0,0,91.74,0,0,3.71,4617.82,0,7,0,0,0,2.07,0,0,72.82,0,12.8,13.43,0
