stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pgc,pronephros,spinal_cord
  7-9,0,0,8.23,0,0,0,0,0,0,0,0,3.51,0,0,3.79,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,1.03,0,0,3.88,4.87,5.47,0,0,1.3
 24-34,0,0,0,0,0,0,1.88,3.53,0,0,0.59,31.03,14.43,43.59,0,0,1.12
 36-46,0.63,1.12,0,0,0,0,0,7.1,0,0,0.82,22.05,0,32.15,0,0,3.34
 48-58,0,0,0.99,0.4,0,0,0,2.18,0,1.23,0.48,9.47,0.85,33.61,0,0,4.48
 60-70,0,0,0,0,0,0,0,6.47,5.06,0,0,7.51,0,44.74,0,0,0
 72-82,0,0,11.29,0,0,0,0,12.62,2.89,0,0,5.93,1.05,67.49,0,0,1.87
 84-94,0,0,2.15,0,0.89,0,0,15.41,0,0,1.48,11.36,0,104.63,0,0,0
 96-106,0,0,0.88,0,0,0,0,24.18,0.85,0,0,0.81,0,105.56,0,0,1.5
108-118,0,0,2.44,0,0,0,0,14.9,0,0,0,0.54,0.57,90.44,0,0.87,0
120,0,0,5.92,0,0,1.62,0,2.28,0,0,0,12.08,2.15,107.64,0,0,0
