stage,blastomeres,epidermis,eye,glial,mesenchyme,mucous,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,42.68,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.61,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.1,0,9.16,0,0,0
 10-12,0,0,0,0,0,0,6.76,0,8.54,0,0,0
 14-21,0,1.93,0,0.89,0,0,2.63,0,0,5.75,1.14,2.23
 24-34,0,0,0,0,0,0,1.35,1.72,0,1.95,0,0
 36-46,0,0,0,0,0,0,21.81,0,0,0.95,0,0
 48-58,0,0,0,0,0,0,0.66,0,0,0,0,0
 60-70,0,0,0.9,0.63,0,0,1.26,0,0,0,0,0
 72-82,0,0.5,0,0,0,0,0,0,0,0,0,0
 84-94,0,2.05,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0.67,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.91,0,0,0,0,0,0.48
