stage,epidermis,eye,glial,neural,spinal_cord,vasculature
 24-34,0,0,0,1.3,0,0.91
 36-46,0,0,0,7.13,0,0
 48-58,0,0,0.47,2.47,0,0
 60-70,0,1.07,0,5.42,0,0
 72-82,0,3.2,0,0,0,0
 96-106,0.6,0,0,0,3.2,0
