stage,axial,blastomeres,epidermis,eye,glial,heart,immune,lateral_line,mucous,neural,notochord,paraxial_mesoderm,periderm,pronephros,vasculature,xanthophores
  3-4,25.39,126.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.07,121.84,0,0,0,0,0,0,0,15.17,0,0,7.18,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,23.77,4.22,24.81,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,8.35,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.62,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,6.82,0,0,0,0,0,7.36
 36-46,0,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,10.09,0,0,0,0,0,0
 60-70,0,0,0,0,2.34,0,0,0,0,16,0,0,0,0,0.64,0
 72-82,0,0,3.31,2.73,0,0,0,0,0,5.98,0,0,0,0,1.05,0
 84-94,0,0,0,0,0,0,1.68,0,0,6.21,0,0,0,0,0,0
 96-106,0,0,0,1.32,0,0,0,0,0,5.96,0,0,0,0,0,0
108-118,0,0,0,0.8,0,0,1.73,0,3.43,6.35,0,0,0,0,0,0
120,0,0,0,0,0,1.17,0,1.77,0,4.48,0,0,0,0,0,0
