stage,erythrocytes,eye,glial,iridophores,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,10.03,0,0,5.23,5.09,0,0
 10-12,0,0,0,0,0,0,11.57,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.94,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,5.23,0,0.69,0,0,0,0.64
 36-46,0,2.87,0,0,0,0.72,6.81,0,0,0,0,0.72,0
 48-58,0,7.13,0,0,0.48,0,5.54,0,0,0,0,0.7,0
 60-70,0,0.66,0,0,1.37,0,0,0,0.65,0,0,0,0
 72-82,4.98,1.48,0,0,0.56,0,3.43,0.88,1.9,0,0,0,0
 84-94,0,2.45,0,0.7,0.59,0.7,4.38,0,2.21,0,4.89,0,0
 96-106,0,1.35,0,0,2.49,0,0,0,5.36,0,0,0,0
108-118,0,1.73,1.09,0,2.09,0,4.2,0,2.5,0,0,0,0
120,0,0,0,0,2.16,0,0,0,5.37,0,0,0,0
