stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,31.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.84,18.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58,0,0,0,9.45,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.38,0,0,5.51,0,0,0,0,0,0,0,0,0,0,0,0,54.33,0,0,0,5.96,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.66,0,0,0,0,0,0,0,0,0,0,1.29,0,0,0,11,0.87,0,0,0,0,4.27,0,3.76,0,0,0,0,0
 24-34,0,0,0,0,0.81,0.81,2.97,0.72,0,3.28,0,0,0,0,0,0.98,0,0,4.17,46.59,0.67,0.78,0.82,0,1.37,0,1.38,11.09,0,0,1.63,0,0
 36-46,0,0,0.95,0,0,0,12.38,1.12,0,0,0,0,0,0,0,4.35,0,0,0.59,43.66,0,1.29,0.6,0,0,0,0,10.87,0,0,0,0,0
 48-58,0,0,0,0,0,0,11.71,0,0,2.79,0,0,0,0,0.92,0,0,0.56,0.42,32.78,0,1.89,0,0,1.44,0,0,8.18,0,0,2.96,0,0
 60-70,0,0,0,0,0,0,18.74,0.96,0,0.95,0,0,0,0,0,3.29,0,0,0,28.89,0,0.72,0,0,3.74,0,0,3.18,0,0,0,0,0
 72-82,0,0,0,0,0,0.64,7.68,0,0.94,5.6,0,0,0,0.83,0,1.28,0,0,1.33,20.6,0,1.39,0,0,0.81,0,0,2.82,0,0,0.95,0,0
 84-94,0,0,0,0,0,0,19.74,0,0,0,0,1.07,0,0,0,2.78,0,0,0,8.1,0,1.11,1.64,0,3.12,0,0,0,0.62,0,3.77,0,0
 96-106,0,0,0,0,0,0,10.36,0,0,8.25,0,0,0.6,0,0,2.43,1.56,0,0,14.03,0,3.93,0,0,1.15,0,0,1.91,0,0.75,0,0.56,0
108-118,0,0,0,0,1.58,0,4.09,0,0,0,2.68,1.49,0,0,0,22.51,0,0,0,16.18,0.56,0.46,0,0,0,0,0,0,0,0,0,0,0.55
120,0,0,0,0,5.45,1.89,0,0,0,3.01,0,0,0,0,0,9.5,0,0,2.52,45.1,0,0,0,0,5.05,0,0,0,5.48,0,0,0,0
