stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,10.55,88.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0,0,0,0,0,0,0,0,0
  7-9,19.7,0,0,0,0,0,3.42,0,0,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,74.24,0,0,0,7.02,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,26.88,0,0,0,0,18.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.72,0,0,0,4.37,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.03,8.21,0,0,114.04,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06,0,2.75,463.35,0,3.55,5.81,0,0,0,0,0,0,1.92,172.9,0,0,0,0,0
 24-34,0,0.83,6.1,3.94,0,0,148.13,0,0,0,12.58,1.08,0,2.46,0,0,0,0,0,0,26.26,0,3.92,3425.24,0,18.69,17.78,0,0,9.07,0,4.03,0,0.72,477.99,0,0,6.04,0,0.76
 36-46,0,0,10.57,0,9.16,0,460.7,0,0,0,42.87,0,0,1.19,0.64,0,0,0,1.69,2.85,30.05,0,0,9222.98,6.6,10.87,14.53,0,0,1.63,0,0,0.85,0,962.89,0,1.04,0,0,0
 48-58,0,0,1.11,33.24,6.11,0,1195.69,0,0.76,2.2,105.44,1.26,0,0.67,0,0,0,0.83,4.08,0,117.71,9.71,5.97,12945.54,0,15.76,13.07,0,0,10.7,0,0,0.4,0,1651.74,0,0,1.82,0,12.08
 60-70,0,0,1.61,22.82,2.84,0,1141.29,0,0.83,1.39,78.81,0,0,0,9.92,0,0,0.77,0,11.2,125.41,1.27,0.68,9312.98,0,6.91,15.84,0,0,2.58,0,0.62,0,0,1491.16,0,0.63,0,0.81,4.45
 72-82,0,0,1.14,28.09,14.14,0,1069.82,0,8.97,3.61,112.09,4.66,0,1.91,0.67,0,3.33,1.9,0,0,234.53,0,6.49,5750.32,0,9.16,7.63,0,1.2,12.8,1.65,0,0,0,788.4,0,1.19,2.94,2.6,4.96
 84-94,0,0,6.2,30.24,1.66,0,826.36,0,1.12,0,83.81,5.65,0,0,1.03,0,11.21,0.69,5.87,0,225.49,9.47,4.71,3730.01,5.19,10.17,38.77,0,0.79,10.09,0,0,0,0,651.4,2.26,1.76,7.12,4.9,4.19
 96-106,0,0,2.16,17.03,18.42,0,457.15,0,0.95,19.06,57.65,6.22,0,5.2,1.79,2.3,0,0,7.69,0,158,0,1.62,2556.97,0,12.76,31.73,0,0.99,6.79,0,0,0,0,161.56,0,0,5.01,1.57,21.1
108-118,0,0,3.13,34.54,5.21,0,423.04,0.49,0.43,0,61.54,1.36,0,0.69,0,0.45,0,1.26,0.7,0.72,158.67,0,4.26,3291.23,0,10.37,21.5,0,0,11.04,0,0,0,0,182.61,0,0,5.12,0,0
120,2.39,0,10.11,10.11,0,14.01,604.56,0,14.64,0,70.22,8.14,0,0,7.82,0,0,0,0,0,133.45,0,2.39,3658.76,0,0,34.94,0,0,6.57,0,0,1.63,0,62.61,0,0,4.54,0,0
