stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,otic,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0.95,0,0,0,0,0,0.89,0,0,0,0,0,1.41,0,2.85,3.94,0,0,7.87,10.36,1.3,4.88,1.07,0,0,0,0
 24-34,0,0.74,0,0.78,0,0,0,0,0,0.98,3.38,0,0,9.54,0,3.73,7.16,0,0,1.31,0,0,0,0,0,0,1.72,0
 36-46,0,0,0,1.04,0,0,0.77,1.06,0,0,1.01,0.58,0,24.44,1.78,3.5,5.79,0,0,5.44,0,0,0,3.68,0,0,2.84,0
 48-58,0,0,0.69,9.23,0,0,0.78,0,0,0.63,27.9,0,0,12.66,6.87,2.32,1.75,0,0,0.38,0,0.55,0,0.96,0,0,0,0
 60-70,0,0,0,4.95,0,0,2.24,0,0,0,26.02,0.58,0,24.09,2.65,5.54,13.96,0.63,2.07,0,0,0,0,0,0,2.5,1.4,0
 72-82,1.43,0.52,0,1.54,0.57,0,7.13,1.24,2.46,0,28.23,0.84,2.27,43.5,6.03,4.56,12.87,0,6.8,3.92,0,0,0,0,1.58,0.49,0.82,2.83
 84-94,0,0,0,0,0,0,1.95,0,0.79,4.62,21.67,1.16,0,24.15,10.13,0,3.02,0,0.6,3.89,0,0,0,3.84,0,3.21,0,3.48
 96-106,0,0.61,0,2.02,0,0,8.08,1.85,0,2.82,26.07,0,2.11,52.97,1.69,4.21,10.47,0,19.41,1.68,0,0,0,0,0,0.79,0,3.16
108-118,0,3.36,0,1.04,0,0.73,4.32,10.16,2.36,0.88,9.44,1.11,2.46,65.2,12.5,7.02,5.56,0,15.91,3.23,0,0,0,0,0,2.8,0,1.9
120,0,0,0,0,0,0,0,0,0,2.09,27.56,0,0,70.02,1.26,0,18.21,0,0,0,0,0,0,0,0,0,13.91,5.39
