stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,32.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9.68,1.02,0,0,0,0,0,0,0,0,1.12,0,0,2.15,0,0.84,0,0,0,0,0,0
 24-34,0,0,14.17,0,0,0,0,0,0,0,0,0,8.18,0,0,0,0,3.84,0,2.38,0,0,1.77,0
 36-46,0,0,2.57,0,0,0,0,0,0,0,0,0.76,0.8,0,0,1.98,0,0,2.66,0.89,0.76,0,0,0
 48-58,0,0,5.25,0,0.62,0.38,0,0,0,0,0,0,5.32,0,0,7.17,0.73,1.51,0,5.49,0,0,0,0
 60-70,0,0,21.79,0,2,4.85,0,0,0,0,0,2.73,14.48,0,0,1.08,0,0.57,8.41,0,0,0,0,0
 72-82,0,1.23,8.46,0,0,0.79,1.01,0,0,0,2.42,2.7,18.47,0,0,1.36,0.58,2.38,2.03,0,0,0,0,0
 84-94,0,0.81,26.44,0,0,2.57,0,0,0,0,3.24,3.13,8.39,0,0,0,2.12,1.36,7.24,1.9,0,1.32,0,0
 96-106,0,0,95.52,0,0.93,15.1,4.34,0,0,0,5.8,2.09,22.2,0.57,0,21.29,0,3.69,17.6,2.42,2.21,0,0,2.3
108-118,0,0,51.08,0,5,11.39,1.51,2.8,0.75,0,2.74,1.24,33.55,0.94,0.88,10.68,2.19,3.39,10.22,0.63,0,0,0,0
120,0,2.75,59.53,0,2.14,4.1,0,3.85,0,7.06,1.89,0,11.75,1.59,0,3.4,5.91,1.73,11.21,0,0,0,0,0
