stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,11.6,356.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.04,0,0,0,0,0,0
  5-6,48.82,563.6,0,0,0,0,0,0,0,0,0,0,0,0,0,81.77,0,0,0,17.42,0,0,0,0,0,0
  7-9,0,5.52,13.8,0,0,19.84,0,0,7.56,0,0,0,0,0,0,165.9,12.69,0,52.44,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.26,0,0,0,0,0,0,0,0,0,164.25,0,0,46.1,0,0,0,0,0,0,0
 14-21,0,0,0.86,2.01,0.87,6.16,0,2.1,0,0,0,3.02,0,0,1.93,42.57,0,0,0,1.31,5.39,1.05,3.4,13.15,0,0
 24-34,0,0,0.84,0,0,3.45,0,0,0,0,0,2.83,0,0,2.14,63.23,0,0,0,0.77,0,0,0.77,12.92,0,0.84
 36-46,0,0,0,2.74,0,14.51,0,3.01,0,0,0,5.51,0,0,0,40.8,0,1.66,0,0,0,0,0,7.86,0,0
 48-58,0,0,0,0,0,12.57,0,3.19,0,0,0.39,8.02,0,0,0.71,18.4,0,0,0,0,0,0,0,4.82,0,0
 60-70,0,0,0,1.15,0,6.73,0,4.74,0,0,0,1.67,0,0,1.22,41.51,0,0,0,0,0,0,0,3.56,0,0.73
 72-82,0,0,0,0.58,0,4.83,1.98,0.96,0,0,0,5.95,0.56,0,0,5.39,0,0,0,1.03,0,0,0,1.04,0.52,0
 84-94,0,0,0,0,0,1.82,0.94,2.21,0,0,0,5.68,0,0.96,0.58,11.67,0,0,0,0.58,0,0,0,0,0,1.36
 96-106,0,0,0,0,0,0,0,2.64,0,0,0,3.85,0,0,0,2.96,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.42,0,9.63,0.93,0,0,9.71,0,0,0,0,0,0,0,0,0,0.56
120,0,0,0,0,0,10.44,0,0,0,0,0,2.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
