stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,xanthophores
  7-9,5.92,0,0,0,0,0,0,0,0,0,0,0,22.95,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0
 14-21,0,0.94,0.92,0,0,0,0,0,0,1.8,0,0,2.66,0,0,0,2.97,0,0,0,0
 24-34,0,0.9,0,1.39,0,0.93,0,0,0,2.32,0,1.78,14.47,0,1.82,0,0,2.4,0,0,0
 36-46,0,0,0,4.31,0,1.05,0,0,0,1.61,0,0,17.69,1.82,0,0,0,6.72,0,0.56,0
 48-58,0,0,0,1.37,0,1.01,0,0,0,3.62,0,0,15.65,0,0,0,0,2.98,0,0,0
 60-70,0,0,0,13.15,0,1.12,0,0,0,0.7,0,0,18.29,0,0,1.26,0,0,0,0,0.79
 72-82,0,0,0,11.85,0,0,0,0,0.79,3.69,0,0,28.28,0,0,0,0,1.14,0.87,0.93,0
 84-94,0,0,0,2.6,1.27,0.74,1.22,0,1.61,1.64,0,2.36,8.42,0.85,0,1.6,0,1.59,0,0,0
 96-106,0,0,0,11.22,0,0,0,0,0,2.9,6.67,0,19.95,0,0,0,0,0,0,0,0
108-118,0,1.5,0,14.81,0,0,0,2.95,0,2.08,0,0,13.05,0,0,0,0,3.86,0,0,0
120,0,0,0,9.78,0,0,0,0,0,6.06,0,0,12.47,0,0,0,0,0,0,0,0
