stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,18.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,8.62,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0,0,0
 14-21,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,1.75,0,0,0,0,1.06,0,0,3.57,4.35,0,0,0
 24-34,0,0,0,2.77,1.67,0,0,0,0,0,0,0,3.24,0,0,1.32,68.05,1.65,1.81,0,0,0,0,0,0,0,16.13,0,0.61,0
 36-46,0,1.58,0,2.3,0,0.78,6.12,0,0,0,0,0,7.19,0,0,2.08,73.87,0.55,9.46,0,0,0,0,0,0,0,47.52,0,3.03,0
 48-58,0,0,0,8.47,0,0,2.59,0,0,0,0,0,7.36,0,0,0.57,50.69,0.4,14.11,0,0,3.67,0,5.85,0,0,17.99,0,0.42,0
 60-70,0,5.21,1.62,29.17,0,0,7.21,0,0,0,2.6,0,12.27,0,0,0,148.06,0,23.64,0,0,3.71,0,0,0,0,5.22,0,0,1.25
 72-82,0,0,0,30.87,0,0,4,0.56,0,0,0.62,0,12.99,0,1.81,0,201.04,0.63,44.74,0.89,0,2.12,0,4.98,0,0,0.9,0,1.03,2.3
 84-94,0,0.92,0,8.95,0,0,1.46,0,0,0,0.57,0,11.9,0,0,0,149.36,1.43,36.8,0,0,0,0,1.3,0,0,3.76,1.28,1.24,0
 96-106,0,3.93,0,47.37,0,0,3.75,0,0,3.21,0.62,0,10.95,3.89,0,0,196.59,0.85,50.63,0,0,0.67,0,1.06,0,0,4.97,0,0.68,0
108-118,0,1.33,0,19.34,0,0.5,1.37,0.45,0,0,0,0.66,9.69,0,0,0,191.12,0,29.44,0.42,0,0.47,0,2.32,0.93,0,4.5,0,2.36,1.26
120,0,0,0,39.46,0,0,19.11,0,0,4.3,5.02,0,26.72,0,0,0,518.45,0,56.19,0,0,0,0,0,0,0,18.66,0,0,0
