stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  5-6,8.66,102.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0,0,0
  7-9,4.39,0,8.68,0,0,5.19,0,0,0,5.77,0,0,0,0,0,0,0,0,71.62,0,0,32.72,5.76,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.48,0,0,7.34,0,0,0,0,0,0
 14-21,0,0,0,0,0.96,0,0,0,0,0,0,0,0.97,0,0,4.73,0,0,14.49,1.23,0,0,1.28,0,0,0,6.09,0
 24-34,0,0,0,0.83,0,0.88,0,0.79,0.7,0,0.62,0,0.72,0,0,3.34,0,1.01,15.38,0,3.89,0,1.55,0,0.94,0.9,6.91,0
 36-46,0,0,0,0,0,1.76,0,0,1.49,0,0,0,0,0,0,1.72,0,0.72,15.96,0,0,0,4.11,0,0,0,6.25,0
 48-58,0,0,0,1.54,0,2.23,0.47,0,2.31,0,0,0,0,0,0.7,2.89,2.12,0,19.08,0,0,0,0,0.43,0,0,1.3,0
 60-70,0,0,0,0.64,0,13.81,0,0,0.85,0,0,0,2.84,0,1.78,0.78,0,0,13.52,0,0,0,0.67,0,0,0,0,0
 72-82,0,0,0,0,0,0.65,0,0,2.13,0,0,0,0,0,0,1.45,0,0.57,10.24,0,0,0,0,0,0,0,0,0.63
 84-94,0,0,0,0,0,0.78,0,0,0,0,0,0.56,0,0,0,2.01,3.99,0,15.25,0,0,0,1.23,0,0,0,0,0
 96-106,0,0,0,0,2.39,3.15,0,0,3.78,0,0,0,0,0,0,2.64,0,0,5.47,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.3,0,0.73,0,0,7.51,0,0,0,0,0,0,2.4,0.69,0,8.14,0,0.45,0,0,0,0,0,0,0
120,0,0,0,0,0,5.74,1.75,3.29,1.85,0,0,0,0,3.84,0,8.89,0,0,39.62,0,0,0,0,0,0,0,8.77,0
