stage,epidermis,erythrocytes,eye,glial,mesenchyme,mucous,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,0,2.55,2.67,0,0,0
 24-34,0,0,1.5,1.06,0,0,3.06,0,0,0,17.44,0,0,0
 36-46,0,0,0,0,0,0,10.15,0.6,0,0,13.85,0,0,0
 48-58,0,0,9.16,4.23,0,0,11.14,0,0.54,0.95,20.46,0,0,0
 60-70,0,0,10.46,1.54,0,0,14.74,0,0,1.32,7.27,0,0,0
 72-82,0,0.55,10.23,5.06,1.37,0,15.25,0,0,0,13.6,1.12,0,1.08
 84-94,0,0,7.59,2.11,0,0,1.94,0,0,2.53,15.43,0.9,0.64,0
 96-106,0,0,14.74,2.37,1.33,0,4.88,0,0,0,12.94,1.16,0,1.42
108-118,0,0,9.99,3.96,0,0,7.5,0,1.58,0.45,0,0,0,0
120,1.39,0,0,11.59,0,1.72,16.27,0,0,0,0,0,0,0
