stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.52,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72,0.88,0,0,1.46,0.9,0,2.03,0,0,0,0,0,0
 24-34,0,8.88,0.74,5.91,0,0,0.66,0,0,0,1.81,2.1,0,0,0,0,1.69,0,1.29,1.2,0,0,0.64,26.03,0,0,46.47,0,0,0,0,44.69,0,0,1.25,0,0,4.53,0,0
 36-46,0,3.92,0.56,5.34,0,0,1.73,0,0,0,0,6.68,0,0,0,0,2.36,14.11,0,1.08,0,0,0.86,21.74,0,0.7,49.03,0,0,0.98,0,25.03,0,0,1.95,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.49,0,0,0,0,16.23,0,0,0,0,25.44,19.49,0,0,0,0,0,15.02,0,1.45,68,0,0,0.43,0,5.23,0,0,8.38,0,0,0,0,0
 60-70,0,10.46,0,0,0,0,7.95,0,0,0,9.95,91.81,0,0,0,0,62.9,34.91,0,3.01,0,0,0,33.88,1.81,0,139.88,0,0,0,0,13.21,5.88,0,3.5,0,0,0,0,0
 72-82,0,41.76,1.68,1.07,0,0,20.87,0.79,0,0,2.33,291.97,1.41,0,1.26,1.65,133.19,11.51,0,6.21,0,0,2.59,84.76,0,1.71,226.08,0,0,6.1,0,2.29,0,0,2.3,0,0,10.79,0,0
 84-94,0,63.36,0.7,8,0,0,12.86,0,0,0,3.39,640.12,0,0.68,0,0,197.51,26.71,1.19,3.74,0,0.63,0,38.8,0,8.3,462.63,0,0,3.22,0,6.52,0,0,3.79,0,1.04,0,0,0
 96-106,0,91.21,0.87,8.46,21.22,5.7,64.68,0,2.37,0,5.94,979.01,0,1.07,1.06,1.92,419.46,54.53,0,37.45,1.62,0.58,1.18,151.15,0,3.96,586.1,0,2.14,5.49,0,2.33,0,0,1.12,2.73,0,3.53,1.36,9.47
108-118,0,69.8,4.06,20.01,0.96,0,28.86,0,0,2.2,6.7,964.82,0,0,1.07,0,238.09,33.09,2.36,12.34,0,0.98,1.35,100.48,0.59,2.66,526.06,0,0,4.16,0,6.71,0,0,1.73,3.3,0,1.97,0,0
120,0,16.51,0,25.95,6.44,0,2.38,0,5.81,21.55,7.08,692.83,0,0,3.97,0,335.41,16.89,0,17.5,0,0,3.94,109.52,0,2.25,745.52,0,0,2.98,0,3.74,0,0,0,0,0,7.59,4.11,0
