stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,167.61,3673.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.92,0,0,0,0,0,0,0,0,0,0,0
  5-6,31.82,1017.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.02,0,0,0,22,32.6,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.78,5.43,0,0,0,0,0,12.99,0,0,0,0,0,10.27,0,0,0,0,0,0,0,0,0,0,0,187.55,5.52,0,0,37.29,0,35.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,27.86,0,0,0,4.08,0,0,0,0,0,7.97,0,0,0,0,0,0,0,0,0,0,0,99.86,6.28,0,0,27.34,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.65,2.42,0,4.97,0,0,0,1.73,0.85,0,0,0,0,0,0,0,0,4.32,0,0,3.61,42.13,0,0,0,1.78,0,1.16,7.89,0,1.54,6.29,13.88,0,0,0,0,0
 24-34,0,0,0,0.62,11.79,1.03,0,4.54,0,0,0,0,0,0,0,0,2.06,0,0.74,0,0,9.17,0,0,2.76,148.99,0,17.25,6.17,0,39.75,0,0,1.82,0,0.97,39.28,0,0,3.18,0,5.67
 36-46,0,0,0,0,8.64,0,0,7.14,0.64,5.13,0.97,6.85,0,0,0,0.56,0,0,0.61,0,0,3.69,0,0,2.69,293.04,0.56,26.09,2.89,0,90.32,0,0,0,0,0,64.43,0,0,0.61,0,0
 48-58,0,0,0,0,6.87,2.84,0,38.65,0,0.8,0,22.07,0.51,1.7,0.55,0.52,0,0,0.38,0,0,4.53,2.67,0.56,0.71,328.73,0,2.73,8.84,0,47.2,0,0,0,0,0,50.5,0,0.91,3.83,0,0
 60-70,0,0,0,0,10.43,11.1,0,184.63,0,2.63,9.66,24.59,1.58,10.49,0,2.46,0,3.63,0,0,0,19.31,0,0,1.41,478.85,0,5.36,0,0,74.2,0,0,11.06,0,0,105.48,2.51,1.42,4.79,0,0
 72-82,0,0,1.68,0,10.23,21.48,1.04,168.73,0,2.64,1.8,28.13,0.64,0,2.04,15.37,1.31,0,1.22,0,0,24.61,1.29,0,0,390.4,0,11.61,0.81,0,22.52,0,0,0,0,0,48.66,0.56,0.5,7.28,0,5.62
 84-94,0,0,7.25,0,11.92,2.83,0.84,193.55,0,0.95,0,46.57,1.92,0,4.81,8.84,4.91,0,2.84,2.28,0,37.07,2.12,2.13,4.69,236.36,0,17.01,0.69,0,84.1,0,0,0.6,0,0,48.5,2.28,0.64,9.24,0.82,0
 96-106,0,0,0,0,13.65,1.24,0,94.44,3.61,1.35,0,45.94,3.55,0,0,20.35,1.96,0,10.36,1.3,0,29.97,0,0,3.02,244.75,0.62,21.53,1.69,0,48.41,1.35,0,0,0,0,13.34,3.93,0,5.62,0,0
108-118,0,0,2.11,0,15.02,16.44,0.55,191.7,0.76,2.14,0,71.08,10.75,0,0,15.02,9.21,0,2.88,0.63,0.76,27.86,0,2.52,0.97,314.08,0.47,22.66,6.87,0,45.91,0,0,2.69,0.8,0,13.32,1.92,0.88,14.67,0,0
120,0,0,3.9,0,25.79,11.02,0,189.09,0,2.16,3.26,74.14,10.24,0,11.68,23.22,9.52,0,8.34,1.42,0,42.09,1.47,0,3.79,651.36,0,23.36,7.13,0,32.43,0,0,1.13,0,0,43.83,20.44,15.47,30.92,0,0
