stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,25.61,209.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,195.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,29.55,0,0,0,0,0,20.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.49,3.84,0,0,8.05,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.21,0,0,0,0,0,27.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.1,12.59,0,0,49.16,0,0,0,0,0,4.75,4.33,0,0,0
 14-21,0.89,0,0,5.71,15.09,1.9,0,6.44,0,0,0,0,1.38,0,0,0,0,0,0,0,3.68,0,0,18.54,64.42,2.29,0,0,1.18,0,0,9.93,0,0.93,21.57,25.34,0,2.02,0
 24-34,0,0,0,4.31,6.99,0,0,4.88,0,0,5.21,1.53,6.82,0,0.76,0,0,1.38,1.94,0,7.76,0,0,3.69,150.34,0,3.09,0.64,0,1.38,0,0,0.73,0,2.38,40.67,0,3.07,1
 36-46,0,0,0,0,0,0,0,24.39,2.36,0,0.64,6.55,1.82,0.76,0,0,0,0,3.58,3.75,13.08,0,0.67,2.82,242.21,0,8.55,0.6,0,0,0,0,0.58,0,0,24.43,0,6.78,11.21
 48-58,0,0,0,0,6.32,0,0,44.13,0.92,0,0,11.89,1.26,0,0.83,0,0,0.88,1.01,0.95,13.45,0,6.25,2.32,262.48,0,6.27,1.05,0,0,0,0,0,0,0,27.32,0,0,0
 60-70,0,0,0,0,0.72,0,0,117.43,0,0,0,12.44,4.12,0,0,0,0,2.35,16.07,1.24,11.39,2.63,0,1.08,373.46,0,5.79,0,0,2.33,0,0,0,0,0,61.11,0,0,7.32
 72-82,0,0,2.4,0,1.54,1.2,0,154.68,0,0,4.74,39.23,1.47,0,0,0,0,2.16,1.93,0.62,35.83,0.95,0,5.55,437.44,0,15.26,3.34,0,3.14,0,0,0,0,0,86.58,0.56,0,4.72
 84-94,0,0,2.51,0,9.73,1.63,0,118.27,0,0.59,0,43.26,0.69,0,0,0,0.68,0,0.56,25.76,24.5,0,1.92,3.97,253.65,0,0.71,1.52,0,0.58,0,0,0,0,0,34,0,1.23,1.45
 96-106,0,0,0.61,0,0.93,0,0,106.41,0,0,4.16,38.65,0.96,0,1.53,0,0,1.74,1.64,0.67,19.32,0,0,0.7,232.8,0,15.49,0.98,0,0.6,0,0,0,0,0,19.79,0,0.61,1.97
108-118,0,0,2.55,1.7,1.86,0,1.51,162.86,4.87,0,1.09,41.8,2.42,0,0,1.15,3.75,0,0.81,4.14,41.13,0,0,0.95,333.97,0.67,14.27,7.95,0,7.77,0.79,0,1.48,0,0,23.17,0,0,6.53
120,0,0,0,0,1.68,0,0,146.98,0,0,0,44.6,3.85,0,0,1.34,1.1,0,0,1.61,21.5,0,0,13.2,593.88,5.92,4.49,0,0,4.84,0,0,0,0,0,0,0,0,4.93
