stage,blastomeres,endoderm,eye,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,pronephros,spinal_cord,vasculature
  5-6,27.99,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.55,7.94,0,0,0,0,0,0,13.33,0,0,0
 10-12,0,0,12.6,0,0,0,0,31.41,0,3.38,0,0,0
 14-21,0,0,0,0,0,0.95,0.88,5.95,0,0,0,0.97,1.77
 24-34,0,0,0,0,0,0,0,2.76,0,0,0,0,0
 36-46,0,0,0.82,0,0,3.95,0,17.03,0.64,0,0.88,1,0
 48-58,0,0,1.05,0.4,0,0,0,10.87,0,0,0,1.65,0
 60-70,0,0,0,0,1.78,0,0,42.66,0,0,0,0,0
 72-82,0,0,0,0,0.92,0,0,32.54,0,0,0,0,0
 84-94,0,0,2.42,0,0,0,0,25.68,0,0,0,0,0
 96-106,0,0,0,0,0,2.29,0,21.12,0,0,0,0,0
108-118,0,0,0,0,2,0,0.99,38.76,0,0,0,0,0
120,0,0,7.97,0,0,0,0,67.4,0,0,0,0,0
