stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,11.67,16.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,51.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,17.71,0,7.68,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,1.92,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,5.49,0.86,23.32,0,0,0.98,0,0.83,3,0,3.23
 36-46,0,0,0,8.19,0,0,5.03,0,0,2.71,0,0,7.73,1.4,31.8,0,0,0,1.04,0,6.76,0,0
 48-58,0,0,0,1.44,0,0,10.44,0.62,0,13.93,0.39,0,8.75,0,55.79,0,0,5.39,0,0,8.13,0,0
 60-70,0,0,0,0,0,0,10.13,2.07,0,0.59,0,0,13.39,0.77,12.89,0,0,13.29,0,0,6.24,0,0
 72-82,0,0,0.79,0.99,0,0,13.58,0,0,6.12,0.66,0,11.74,1.8,30.96,0,0,0,0,0,4.68,1.16,0
 84-94,0,0,0,0,0.65,0,7.72,0,0,1.28,0,0,13.85,0.98,22.72,0,3.85,0,0,0,1.49,0,0
 96-106,0,0,0,0,0,1.22,16.12,0,0,0,0,0,1.86,0,11.34,2.02,0,0,0,0,1.97,0,0.99
108-118,0,0,0,1.21,0,0,1.62,0,1.5,3.86,0,0,1.73,0.88,11.76,0,0,0,0.64,0,0,0,0
120,0,0,0,0,0,0,9.16,0,0,14.68,0,0,6.19,0,41.54,0,0,10.8,0,0,10.36,0,0
