stage,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,lateral_line,mesenchyme,muscle,neural,otic,spinal_cord,vascular_smooth_muscle,vasculature
 24-34,0,0,0,0,0,0,0,0,0,5.02,0,0,0,0
 36-46,0,0.68,0.58,0,2.55,0,0,1.02,0,41.51,0,25.94,0,0
 48-58,0,1.82,0,0,11.44,0,0,1.51,0,19.07,0,7.48,0,0
 60-70,0,0,0,0,5.16,0,0,13.24,0.68,39.72,0,8.39,0,0
 72-82,0,2.52,0,4.21,3.33,1.17,0,13.8,0,30.69,1.14,10.66,0,0.72
 84-94,0,0,0,0,0,2.88,0.73,26.64,0,23.59,0,7.27,0,0
 96-106,1.04,1.05,0,0,0,0,0,27.7,0,29.49,0,5.24,0,0
108-118,0,2.74,0,0,0,0,0,38.29,1.33,39.61,0,0,8.46,0
120,0,0,0,0,3.44,1.54,0,38.29,0,9.6,0,0,0,0
