stage,blastomeres,endoderm,epidermis,neural,paraxial_mesoderm
  5-6,16.3,0,0,0,0
  7-9,0,8.46,0,22.85,7.59
 10-12,0,0,0,21.75,20.01
 14-21,0,0,1.7,0,0
