stage,eye,gut,liver,mesenchyme,mural_cell,muscle,neural,notochord,periderm,pronephros
 24-34,0,0,0,1.16,0,0.65,0,0,0,0.6
 36-46,0,0,0,0.85,0,0,0,0,0,0
 48-58,0,0,0.66,0.78,0,0.88,0.46,0,0,0
 60-70,0,0,0,0,0,0,0,0,6.5,0
 72-82,0,0,0.58,0,0,0,2.83,0,0,0.79
 84-94,0,1.2,2.08,0,0,1.99,0,0,0,1.97
 96-106,18.22,0.86,10.5,4.11,1.95,0,16.76,0,0,1.57
108-118,0,1.66,22.52,3.67,0,0,0.53,0.47,2.14,0
120,0,8.79,13.06,0,0,0,16.67,0,0,0
