stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,121.2,2063.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.16,0,0,0,0,0,0,0,0,0
  5-6,51.15,1435.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.82,0,0,0,13.43,0,28.16,0,0,0,0,0,0,0,0,0
  7-9,19.78,23.59,12.71,0,0,0,51.67,0,0,0,0,0,9.81,0,0,0,0,0,0,0,0,0,0,0,404.99,3.65,0,0,140.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,20.37,46.22,0,4.74,0,29.59,0,0,0,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,704.86,40.27,0,0,163.35,0,0,0,39.28,0,0,0,0,0,0,0
 14-21,0,0,1.98,8.02,1.44,0,7.14,0,0,0,1.67,3.51,0,0,0,2.92,0,0,0,0,3.97,0,0,6.94,64.91,0,0,1.38,0.95,0,6.33,13.28,0,0.91,3.54,27.34,0,1.41,0,0
 24-34,0,0,0.64,5.47,0,0,6.91,0,0,0.97,1.05,0,0.76,0.94,1.33,2.99,0,0,0,0.95,11.87,0,2.43,2.8,135.27,0,4.49,0.78,0,0,25.36,0,0,0,2.94,25.01,0,2.37,0,0.79
 36-46,0,0,0,3.19,1.17,0,23.73,0.68,9.17,0,4.1,0.59,0,0.72,0.62,1.57,0,0,0,0,10.5,0,0,3.44,132.92,1.8,6.19,0.91,0,0,37.21,0,0,0,0,31.54,0,2.66,0,0
 48-58,0,0,0,1.79,0,0,37.26,1.1,0,1.39,13.91,2.4,0,0,0,0,0,0.41,2.64,8.29,15.98,0,0,1.74,134.02,0,0.81,1.44,0,0,27.29,0,0.4,0,0,16.24,0,2.16,0,2.19
 60-70,0,0,0,5.7,0,0,66.59,0,0,3.63,20.96,0,0,2.92,2.64,0,0,0,0,5.76,26.04,0,0,0,133.99,0,3.07,0.72,0,0,13.17,0,0,0,0,20.54,0.65,5.06,0.73,0
 72-82,0,0,0,4.11,0,0,56.8,1.57,0,0,11.68,2.04,0,0,0,2.24,4.81,0,4.8,0,12.83,1.61,3.45,1.43,65.8,0,0.91,1.81,0,0,5.05,0,0.76,1.07,0,4.18,0,3.64,0,7.42
 84-94,0,0,0,20.57,0,0,43.55,0,0,0.69,16.53,6.43,0,0,4.56,2.93,0,0,0,0,21.06,0,0.92,1.78,35.89,0,1.13,2.48,0,0,30.44,0,0.64,0,0,9.2,2.33,4.29,0,0
 96-106,0,0,0,7.45,0,0,39.94,0,0.61,0.59,10.36,7.14,0,0,2.13,1.44,0.71,1.13,0,0,5.74,0,0,0.8,52.02,0.68,4.17,0,0,0,15.48,0,0,0,0,0,0,0,1.93,0
108-118,0,0,0,4.79,1.66,1.77,29.47,0,0,2.17,13.37,0.46,0,1.02,5.69,2.52,0,0,0.97,7.16,7.23,1.01,2.61,0,48.38,0,0,0.42,0,2.92,25.13,0,1.84,0,0,3.57,0,0.97,0.62,0.6
120,0,0,0,8.17,1.49,0,49.65,0,0,0,10.71,4.75,0,0,7.54,0,0,0,0,0,19.38,0,6.98,1.13,55.11,0,11.74,2.28,0,0,8.03,0,0,0,0,0,0,2.49,0,0
