stage,axial,blastomeres,eye,neural,paraxial_mesoderm
  3-4,0,41.61,0,0,0
  5-6,0,128.62,0,0,0
  7-9,5.42,7.72,4.24,119.16,44.86
 10-12,0,8.8,11.1,126.46,16.72
