stage,blastomeres,eye,hatching_gland,lateral_line,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,49.44,0,0,0,0,0,0,0,0,0,0
  5-6,33.03,0,0,0,0,0,0,0,0,0,0
  7-9,4.75,0,25.94,0,0,0,25.42,0,13.46,0,0
 10-12,5.62,0,0,0,0,0,26.78,0,7.58,0,0
 14-21,0,0,0,0,0,0,0.89,0,0,0,0
 24-34,0,0,0,0,0,1.02,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.8,0,0,0
 48-58,0,0,0,0.4,0.41,0,3.38,6.33,0,0,1.18
 60-70,0,1.44,0,0,0,0,7.66,22.75,0,0,8.57
 72-82,0,5.2,0,0.63,0,0,6.54,5.5,0,0,0
 84-94,0,4.66,0,1.82,0,0,2.09,18.13,0,0,0
 96-106,0,4.55,0,0,0,0,1.44,6.09,0,0,0
108-118,0,0.67,0,0.63,0,0,7.13,6.99,0,0,0
120,0,2.38,0,3.86,0,0,0,26.72,0,1.21,0
