stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.63,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,29.56,0,13.07,6.67,0,0,0,0,0,0
 14-21,3.64,2.28,0.9,0.87,0,0,0,4.14,0,0,1.15,0,11.25,1.87,0,0,20.28,1.45,0,3.09,35.22,55.87,0
 24-34,5.04,0,1.91,0,0,0.63,0,7.64,0,0,1.98,0,0,11.57,1.6,0,19.19,0,0,0,0.62,17.96,0.94
 36-46,1.95,0,0,0,0.97,0,0,8.81,0,0,2.24,0,0,3.3,0.6,0,28.77,0,0,0,0,13.41,0
 48-58,8.25,0,3.95,2.5,0,0.49,0,8.3,0,0,2.22,1.51,0.43,22.86,0,0,34.64,0,0.61,0,0,18.92,0
 60-70,13.93,0,6.2,0,11.42,0.85,0,31.78,0,0,2.72,3.79,0,8.59,1.75,0,79.18,0,0,0,0,7.04,0
 72-82,8.79,0,18.52,0,0,1.93,2.23,51.51,0,0,2.37,0.86,0,12.4,1.23,0,74.25,0,0,0,0,14.6,1.04
 84-94,30.19,0,1,5.75,0,3.63,0,67.56,0,1.43,1.06,0,0,2.58,11.47,0,120.96,0,0,0,0,3.84,0
 96-106,33.28,0,2.73,6.07,4.16,0,0,97.25,0,0.63,6.13,6.94,0,26.48,6.42,0,278.53,0,0.58,0,0,0,0
108-118,47.54,0,5.7,3.01,0,8.43,0.42,120.21,0.9,0.82,7.29,2.87,0,15.05,10.41,0,175.97,0,0.64,0,0,0,0
120,18.91,0,28.92,3.55,0,12.48,0,73.05,0,0,3.29,0,0,48.33,26.05,0,97.29,0,0,0,0,2.78,0
