stage,epidermis,eye,glial,immune,iridophores,melanocytes,mesenchyme,neural,periderm
  7-9,0,0,0,0,0,0,0,5.18,0
 48-58,0,0.39,2.38,0,0,0.38,0,0,0
 60-70,0,0,77.17,0,0,0,0,5.05,0
 72-82,0,0,187.7,0,0,0.99,0,0,0.65
 84-94,0.92,0,257.3,0,0,3.59,7.31,0.68,2.25
 96-106,0,7.34,187.55,0.56,0.76,2.33,7.5,1.11,0
108-118,0,2.6,318.11,0,1.18,3.54,5.64,2.11,0
120,0,0,267.42,0,0,0,0,0,0
