stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,neural,periderm,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,1.87,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,3.63,0,0.86,1.77,0
 36-46,0,0,0,0,0,0,0,0,7.98,0.68,1.12,1.75,0
 48-58,2.04,0,0,0,0,0,0,2.4,2.64,0,0,0,0
 60-70,0,1.83,0,0.68,1.14,0,0.58,3.02,6.79,0,2.73,0,1.61
 72-82,0,1.69,0,0,0,0,0,4.6,2.18,0,0,2.52,0
 84-94,0,0,0,0,1.11,0,0,1.05,2.38,0,0,0,0
 96-106,0,5.63,0,0,0,0,0,5.26,4.78,0,0,1.3,0
108-118,0.44,0,0.43,0,4.33,0.59,0,2.32,3.49,0,0,0,0
120,0,0,0,0,0,0,0,0,7.56,0,0,0,0
