stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.02,9.41,0,0,0,0,0,3.43,0,3.11,0,0,0,0,0,0
 14-21,0,0.88,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,3.97,3.3,0,0,0,0,81.62,0,0,0,0,0,0,0,0,0
 24-34,0,0,4.18,0,0,6.43,0,1.13,0,0,0,0,0,0,4.54,0,0,0,0,2.17,5.43,0,2.58,70.19,1.61,0.62,1.25,0,0,1086.54,0.6,0,2.92,4.27,0,0,0,0,0
 36-46,0,0,9.4,0,0,6,0,7.65,0,0,0,0,0,0,8.88,0,0,0,0,3.24,15.68,0,0,79.1,1.35,1.02,7.21,0,0,2466.08,0,0,0,6.76,0,0,4.98,0,0.68
 48-58,0,0,15.17,0,0,26.96,0,30.58,0,10.01,0.44,0,0.63,0,4.78,0,0,0,7.19,9.84,13.6,0,1.21,72.43,4.55,0,0.43,4.77,0,2864.32,0.44,0,0,17.93,0,0,0,0,3.17
 60-70,0,2.79,29.1,4.47,0,55.06,0,37.08,5.6,2.93,4.02,0,0,0.95,5.81,0,0,0,0,8.45,9.58,0,0,77.4,10.53,0,0,0,0,2361.35,1.52,0,0,9.42,0,0,0.9,0,0
 72-82,0,0,30.66,1.41,0,38.21,0,32.48,1.09,13.41,45.16,0.74,0,0,10.25,0,1.72,4.14,2.16,12.09,10,0,1.97,109.35,0,0,0,0,0,1890.94,4.78,0,0,10.26,8.84,0.87,9.64,0,0
 84-94,0,0,41.84,4.36,0,28.59,0,103.48,1.18,8.59,44.22,0,0,0.77,42.16,14.49,0,13.7,0,9.99,27.03,0.94,2.22,81,4.24,0,5.33,0,0,4260.73,5.57,1.24,0,1.05,15.69,0,12.09,3.28,0.66
 96-106,0,0,130.13,3.41,3.11,62.19,0,134.11,8.83,27.05,246.59,0,8.29,2.64,36.61,0.77,4.82,21.25,0,44.82,51.86,8.53,2.51,172.96,2.63,0,4.53,0,1.3,3635.79,3.74,0.69,0,3.92,8.17,0,11.64,0,7.62
108-118,0,0,126.9,21.78,0,43.49,1.44,164.33,0,20.19,204.81,0,0,0.64,44.69,0,0.81,4.07,0,21.43,51.39,4.87,4.03,152.16,1.15,0,0,0,5.22,2956.66,4.12,0,0,5.38,59.44,0,2.91,1.65,0.49
120,0,0,153.3,5.14,1.71,11.97,0,144.4,16.69,19.26,198.12,0,0,3.6,36.73,0,0,4.09,0,20.39,33.62,0,5.1,165.16,2.24,3.06,0,0,0,2032.86,0,0,0,0,2.11,0,0,0,3.85
