stage,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,1.1,0.86,0,1.08,0,0,0,0,0,0,0.89,14.67,0,0,2.3,0.96,1.75,3.62,0,0
 24-34,0,0.62,9.13,0.7,2.25,0,0,0,0,0.65,5.44,0.78,36.49,1.76,0.73,0,0,0,3.27,0,3.34
 36-46,0,0,20.12,0,1.73,0,0.57,0,0,0,8.42,0.62,53.99,0,0,0,0,0,14.57,0,0
 48-58,0,5.16,13.18,0,3.67,0,0,2.58,0,0,6.38,0,20.46,0.86,0,0.66,0,0,3.75,0,0.66
 60-70,0,1.63,25.37,1.81,2.99,1.91,0,0,3.85,0,12.7,3.55,42.37,0,0,0.68,0,0,1.22,2.55,0.99
 72-82,0,0,8.23,1.86,0.65,0,0,0,0,0,13.27,0,14.56,0,0,0,0,0,0,0,1.29
 84-94,0,0.57,7.45,0,5.78,0.67,1.07,0,0,0,4.96,1.31,11.79,0,0.6,5.32,0,0,0,0,1.8
 96-106,0,0.99,7.58,0,7.41,0,0,0,0,0,10.08,3.8,4.69,2.9,0,0,0,0,0,0,0.79
108-118,0.49,0.5,0,0,7.52,0.64,0,0,0,0,3.79,1.07,11.94,0,5.92,2.33,0,0,0.96,0,0.42
120,0,0,2.14,0,7.45,0,0,0,0,0,7.72,0,19.17,0,0,0,0,0,0,0,0
