stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,70.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,20.61,0,0,20.55,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,7.72,0,0,0,0,0,0,0,30.51,0,0,10.3,0,0,0,0,0,0
 14-21,0,0,0,1.71,0.9,0,0,0,0,0,0,0,0,0,1.7,0,0.97,0,0,1.36,0,0,0,1.86,0,7.35,0
 24-34,0,0,0.75,0.81,0,0,0,0,0,0,0,2.79,0,9.26,5.23,0,0.96,29.84,1.32,0,0,0,0.6,0.77,0,33.05,0
 36-46,0,0,0,0,0,0,0,2.43,0,0,0,0,0,5.56,2.26,0,0,64.36,0,0,0,0,0,0,0,6.62,2.66
 48-58,0,0,0.38,0,3.43,0,0,0.41,0.43,0,0,0.71,0.85,0.48,4.47,0,0,102.39,0.93,0,0,0,0,11.79,0,10.93,0
 60-70,0,0,0,0,3.97,0,3.06,1.27,0,0,0,0,0,0,6.59,0,0,165.58,0,0,0,0,0,3.67,0,4.67,0
 72-82,0,0,1.17,0,8.43,0,0,6.63,0,0,0,1.38,0,0,11.76,1,0,169.48,0,0,0,0,0,4.32,1.44,6.98,1.1
 84-94,0,0,2.87,0.92,8.53,0.92,0,2.89,0,0,0,2.28,0,1.98,37.57,0,0,130.39,1.13,0,0,0,2.54,0.79,0.92,6.25,0
 96-106,0,0.74,1.78,0,6.33,0,0,2.04,0,0,1.02,9.22,1.38,0,14.02,0,2.33,110.92,0,0,0,0,2.63,3.67,0.8,13.18,0
108-118,0,0,2.77,0.49,2.39,0.52,0,4.16,0.59,0,0.83,9.56,0,0,28.57,0,0,94.7,0,0,0,1.1,1.49,2.75,0,19.61,0
120,0,0,1.24,0,31.21,0,0,10.38,0,0,0,17.77,0,0,19.73,0,1.82,235.26,0,0,0,0,0,0,0,26.57,0
