stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,0,53.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,21.98,0,0,0,0,0,11.6,0,0,33.99,0,0,6.9,0,0,0
  7-9,24.48,0,0,0,0,0,0,3.85,0,0,5.48,0,0,50.11,0,0,0
 10-12,0,19.74,0,0,0,0,0,0,0,0,0,5.8,0,34.99,0,0,0
 14-21,0,0,0.88,0,0,2.62,0,0,0.99,0,0,0,0,0,0,3.13,2.29
 24-34,0,0,0,2.05,0,0,0,0,2.7,0,1.33,0,0,0,0,0,1.41
 36-46,0,0,0,1.99,0,0,0,0,3.28,0,6.02,0,0.64,0,0,0,1.13
 48-58,0,0,0,1,0,0.63,0,0,0.37,0.45,2.92,0,0,0,4.31,0,2.2
 60-70,0,0,0.76,4.39,0,1,0,0,0,0,4.09,0,0,0,0,0,1.41
 72-82,0,0,0,0,0,0,0,0,1.13,0,7.29,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.86,0,0,0,0,0,0,0,1.13,0,0,0,0
108-118,0,0,0,0,0,0,0.42,0,0,0,0,0,3.95,0,0.57,0,0
