stage,eye,mesenchyme,muscle,neural,spinal_cord
 48-58,5.21,0,0,4.93,0
 60-70,0.95,0,0,2.13,0
 72-82,5.25,0.64,0.52,0,1.33
108-118,6.19,0,0,0,0
