stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,5.09,0,0,0,0,0,0,0,10.17,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.8,0,0,0,0,0,0,0,0
 14-21,0,5.77,0,1.02,0,0,0,0,0,0,0,0,0,0,0,2.8,1.29,0,0,0,0.96,0,0,0
 24-34,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,11.41,0.57,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,1.06,0,0,0,0,0
 48-58,0,4.47,0,1.46,0,1.19,0,0,0,0.92,0,0,0,0,0,8.69,0,0,1.65,0,0,0,0,0.4
 60-70,0,4.77,0,0,1.82,5.44,0,0,0,0.98,0,0,0,0,0,7.98,0,0,0,0,0,0,0,1.76
 72-82,0,2.04,0,4.55,0,9.02,0,0,0,0,0,0,0,0,0,2.88,0,0,2.03,0,0,0,1.11,4.41
 84-94,0,10.02,0,0,2.91,4.71,0,0,0,0,0,0,0,0,0,1.42,0,0,4.41,0.9,5.98,0,0,0
 96-106,0,8.39,0,1.52,0.6,4.37,0,0,0.62,0,0.63,0,0,0,0,3.53,0,0,0.65,5.44,0,0,0,0
108-118,0.63,4.15,0,2.46,1.98,14.18,1.35,0,0,0,2.17,0,3.19,0,0,0.95,0,0.7,6.28,0.44,0,3.03,0,0
120,0,8.07,0,2.22,0,38.05,0,0,0,0,0,5.44,0,2.14,0,9.99,0,0,8.31,2.87,0,0,0,0
