stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,8.64,120.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.02,6.29,0,7.98,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,11.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.66,0,0,4.45,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.34,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56,19,0.89,0,0,0,3.84,3.01,4.08,8.85,0,0,2.87,0
 24-34,0,0,0,2.09,0.67,2.4,0,0,0,0.85,0,0,0,0,0.7,0,0,3.46,0,0,3.74,67.49,0,0,0,0,2.2,0,0,5.87,0,0,0,0
 36-46,0,0,0,2.43,0,11.94,0,0,0,1.09,0,0,0,0,0,0,0,5.55,0,0,3.13,57.16,0,0,0,0,2.36,0,0,8.47,0,0,0,0
 48-58,0,0,0,8.19,0.59,14.66,0,0,0,4.03,0.58,0,0,0,0,0,9.42,5.48,0,0.84,0,33.46,0,2.27,0,0,8.65,0,0,12.95,0,0,0,0
 60-70,0,0,0,2.83,0,28.67,1.08,0,0,18.03,0,0,0,0,0,1.37,8.18,8.41,0,0,3.98,56.62,0,5.22,0,0,3.9,0,0,6.12,0,0,0,0
 72-82,0,0,0,1.23,0,4.39,2.53,0,0,11.46,1.97,0.6,0,0,0,0,16.84,9.68,0,2.15,6.71,29.79,0,4.89,0,0,2.76,0,0,10.72,0,2.08,6.3,1.78
 84-94,0,0,1.42,3.29,0,13.42,0,0,0,4.64,0,1.52,0,0,0,0,101.4,5.56,0,0,0,22.39,0.62,4.49,0,0,13.75,0,0,0,0,1.25,3.62,0
 96-106,0,0,0,5.22,0,8.27,0,0.68,0,9.79,0,0,0.57,0.86,0,0.92,71.93,15.51,0,1.14,0,14.81,0,0.62,0,0,8.48,0,0,0.99,0,0,0,0
108-118,0,0,0,4.43,0,10.71,0,0,1.39,6.36,0,0,2.43,2.14,0.43,0.94,137.63,16.61,2.35,0,1.46,24.78,0,2.51,0,1.63,10.17,0,0,3.19,0.44,0,0,0
120,0,0,0,3.54,0,7.69,1.14,5.18,0,16.07,3.44,0,5.39,1.25,0,0,100.35,4.31,1.47,0,0,49.76,0,0,0,0,17.64,0,0,0,0,0,0,0
