stage,epidermis,eye,fin_epithelia,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,22.79,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,108.18,0,0,5.7,0,0,0,0
 14-21,21.98,0,0,0.91,0,0,0,0,0.86,0,0,0,0,0,0,0
 24-34,34.69,0,0,0,0,0,0,0,15.03,0,0,0,2.56,0.8,0,0
 36-46,22.33,0,1.4,0,0,0,0,0,2.33,0,0,0,0,0,0,0
 48-58,13.84,0,5.74,0,0,0,0,0,1.23,0,0,0,0,1.55,0,0
 60-70,23.01,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,1.46
 72-82,10.25,0,0.8,0,0,0.57,0,0,4.98,0,0,0,0,0,0,0
 84-94,18.82,0,8.22,0,0,0,0,0.62,5.56,0.61,1.29,0,1.97,0,0,0.97
 96-106,14.51,0,1.62,0,0,0,2.25,0,0,0,0,0,4.07,0,0.66,0
108-118,23.97,3.44,2.77,0,0,0,0,0,0,0.54,3.17,0,0.47,0,0,0.54
120,45.59,0,3.58,0,2.5,1.84,0,0,0,0,0,0,0,0,0,0
