stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,118.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0,0,0,0,0,0
  5-6,11.27,250.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.21,0,0,0,0,0,0,11.68,0,0,0,9.27,0,0,0,0,0,0,0,0,0,0,81.19,3.59,0,0,15.99,0,0,0,0,0,0,0,0,0
 10-12,0,10.96,0,0,0,0,0,25.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.13,0,0,0,17.04,0,6.41,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,3.33,0,0,0,0,0,0,33.8,1.15,0,0,0,1.07,0,0,0,0,8.73,0,0,0,0,0,0,0.84,2.31,0,0,0,0,0
 24-34,0,0,0,0.65,1.16,0,0,2.74,0,1.09,0,0,146.07,0,0,0,0.84,1.09,0,0,0,0,13.19,0,0.78,0,0,0.64,0,2.7,0,1.74,0,0,0,0
 36-46,0,0,0,0,11.4,0,0,0,0,9.73,0,0,177.9,0,0,0,0,2.38,1.25,0,0,0,20.01,0,0,0,0,2.21,0,0.7,0,1.81,0,0,0,0
 48-58,0,0,1.05,0,0,0,0,5.25,0,0,0,0,144.49,0,0,0,0,6.32,2.09,0,0,0,6.85,0,0.93,0,0,0,0,1.08,0,1.49,0,0,0,3.03
 60-70,0,0,0,0,0,0,0,11.35,0,0,9.98,0,246.71,0,0.9,0,0,6.49,2.64,0,0,1.17,8.68,0,0,0,0,3.86,0,0,0,2,0,0,0.71,2.08
 72-82,0,0,1.78,0,0.72,0,0,19.67,1.51,0,29.05,0,192.49,0,0,0,0,3.74,1.94,0,0,0.89,15.07,0,0,0.51,0,0,0,0,0,2.45,6.19,1.77,0,0
 84-94,0,0,0,0,0,0,0,2.66,0,1.89,9.46,0,201.96,0,0,0,0,26.37,0.97,0,0,0.55,2.87,0,0,0,0,0,0,0,0,0,3,0,0,0
 96-106,0,0,0.83,0,0.6,1.81,0,2.62,0,0.72,1.52,0,255.25,0,0,0,1.37,11.4,7.98,0,0.59,0,9.23,0,0,1.64,0,4.35,0,0,0,0,0,3.74,0.61,0
108-118,0,0,0.58,0,31.59,5.61,1.36,5.8,0,2.22,102.2,0,243.02,0.42,0.82,0,1.9,29.89,2.23,1.08,0,0,11.71,0,0,3.4,0,1,0,0.97,0,1.42,0,0.43,0,0
120,0,0,0,0,3.4,0,0,0,0,19.27,18.78,0,519.02,0,0,3.86,0,20.85,0,0,0,0,28.71,0,4.09,0,0,12.41,0,0,0,0,0,2.97,0,0
