stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0,0,0,0,0,0
  5-6,131.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.95,3.54,0,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,117.57,11.32,0,0,22.87,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,14.8,0,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1,23.08,0,0,32.82,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.8,4.6,2.06,0,2.59,0,0,0,1.09,1.65,0,0.81,0,0,0,0,3.65,0,0,1.36,27.14,1.15,0,0,0.87,0,0,1.18,0,1.07,3.55,8.6,0,0,0,0,0.84
 24-34,0,0,3.44,0,0,4.82,0,0,0,0,0,0,0,0,0,0,0,4.41,0,0,1.29,26.7,0,0,0,0,0,1.58,0,0.73,0,0.78,16.7,0,0,2.5,0,0
 36-46,0,0,0,1.3,0,6.98,0,0,3.07,1.09,0,0,1.44,0,0,0,0,3.6,0,0,0,53.05,2.37,1.77,0,0,0,7.55,0,0,0,0,6.52,0,0,0,0,0
 48-58,0,0,0.92,1.4,0,10.79,0,0,0,6.17,0,0,0,5.28,0.83,0.77,1.37,4.15,0,0,1.35,33.43,0,0,0,0,0,0,0,0,0,0,8.14,0,0,0.58,0,0.85
 60-70,0,0,0.58,0,0,34.48,0,0.63,0.9,8.31,0,0,0,0,0,0,0,14.43,0,1.46,1.7,7.9,1.13,0.84,0,0,0,0,0,0,0,0,1.42,0,0,0,0,5.76
 72-82,0,0,0.67,8.79,0,8.33,0,0,0,13.11,2.14,0,0,4.38,0,0,0,22.81,0.56,0,3.1,6.24,1.8,0,0,0,0.83,3.18,0,0,0,0,5.54,3.84,0.61,4.86,0.57,9.12
 84-94,0,0,0,5.56,0,10.35,0,0,0,4.04,0,0,1.68,2.3,0,0,0,4.66,0,2.06,0,6.43,0,3.23,0.89,0,0,1.41,0,0,0,0,0,0,2.45,0.64,0,0
 96-106,0,0,2.05,26.7,0,10.37,0,1.22,0,11.36,0,0,0,4.12,0,2.58,2.67,18.48,0,1.32,4.49,9.28,0.62,0.85,1.43,0,0,9.31,0,0,0,0,0,0,0,0,1.47,0
108-118,0,0,4.46,19.58,0.45,12.64,0.54,2.43,0,19.32,1.63,0,0,4.63,0,0.53,0.43,20.54,0,0,3.8,4.26,0,0,0,0,1.53,8.15,0,0.43,0,0,9.31,0,1.06,1.1,0.73,2.58
120,0,0,2.58,30.32,0,2.17,0,0,0,10.5,1.38,0,2.63,0,0,0,0,34.7,0,0,4.52,12.31,1.03,6.62,0,0,0,10.06,0,0,0,0,0,1.27,0,0,0,0
