stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,13.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.79,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,8.68,0,0,0,0,0,0,0,0
 14-21,0,1.54,0.85,0,0,0,0,0,0,0,0,0.87,1.27,11.24,0,0,0.84,0,0,2.14,0,0
 24-34,0,0,0,0,1.2,0,0,0,0.68,0,0,0.67,0,27.77,0,0,0,0.91,0,1.35,0,0
 36-46,0,0,0,0,3.51,0,1.24,0,0,0,0,1.73,0,40.07,1.35,0,0,9.4,0.59,11.04,0,0
 48-58,0,0,0,0,4.58,0,1.96,0,0,0,0,0,0,21.52,0,0,0,3.11,0,0,0,0.58
 60-70,0,0,0.9,0,3.68,1.07,3.71,0,0,0,0,0,0,29.34,0,0,0,4.8,0,0,0,0
 72-82,0,0,0,0.63,4.95,0,2.22,1.8,0,0,0,0,0,7.06,0,0,0,0,0,1.35,0.67,0
 84-94,0,0,0,2.12,5.73,0,1.01,5.7,0,0,0,1.51,0,2.79,0,0,0,6.87,0,1.07,0,1.65
 96-106,0,0,0,0,9.75,0,3,3.92,0,8.88,1.5,0,0,6.06,0,0.59,0,1.05,0,0,0,1.35
108-118,0,0,1.22,0,1.77,0,2.43,1.42,1.77,0,0,0.44,0,22.77,0,0,0,10.48,1.86,0,0,1.47
120,0,0,0,0,2.58,0,0,2.4,0,0,0,0,0,1.72,0,0,0,1.42,0,0,0,1.03
