stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.05,176.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.79,4,0,0,0,0,0,8.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.88,0,0,0,3.59,0,6.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,5.91,0,0,0,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.96,0,0,0,39.68,0,4.05,6.56,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.5,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04,0,0,0.82,10.19,1.33,0,0.91,0,0,8.1,0,0,0,1.03,15.58,0,0,0,0
 24-34,0,0,0,0,0.92,0,0,2.64,0,0,0,0,0,0,0,20.99,0,0,0,0,2.94,2.05,0,0.64,27.89,0,0.6,0,0,0,21.24,0,0,0,0,8.37,0,10.36,0,0
 36-46,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,93.05,0,0,0,0,10.76,0.63,0,1.54,41.23,0,0,0,0,0,37.23,0,1.81,0,0,10,0,1.43,0,0
 48-58,0,0,0,0,4.16,0,0,14.92,0,0,0,8.74,0,0.98,0,694.92,1.87,0,0,3.8,5.45,0.81,0,0.81,41.57,0,0,0,0,0,37.84,0,0,6.36,0,9.61,0,0.62,0,1.86
 60-70,0,0,0,0,2.32,14.13,0,16.35,0,2.41,0,0,0,0,0,1290.41,0.71,6.5,0,0,3.55,0.84,0,5.47,32.61,0,0,0.86,0,0,36.8,0,0,0.97,0,5,0,0,0,0
 72-82,0,0,0,0,5.47,1.26,0,30.11,0,0,0,0.69,0,0,6.99,1632.33,0,0,0,0,7.24,0.57,0,1.68,46.05,0,0,0,0,0,11.78,0,0,0,0,7.89,0,0,0.91,0
 84-94,0,0,1.11,0,4.65,0,0,10.53,0,2.27,0,0,0.96,0,0,2026.53,0,0,0,0,8,2.46,0,2.36,29.04,0,0,0,0,0,31.33,0,0,0,0,0,0,0.57,0.89,0
 96-106,0,0,1.19,0,2.54,18.1,0.59,33.03,0,1,0,6.69,0,0,0,2316.54,0,0,0,0,11.45,0,0.66,0,28.26,0,3.47,0,0,0,39.74,0,0,0,0,5.05,0.72,7.9,0,0.73
108-118,0,0,0,0,8.05,3.09,0,23.94,1.5,1.92,0.62,6.29,1.25,0,0,1674.53,1.02,0,1.26,1.01,11.75,0,0,6.59,27.09,0,0,0,0,1.08,15.55,0,0,0,0,5.42,2.13,1.13,2.31,0
120,0,0,0,0,17.76,5.11,0,0,0,0,0,0,0,0,0,2462.58,0,0,0,0,10.95,0,0,1.28,45.59,0,0,0,0,0,10.19,0,0,0,0,0,0,8.11,0,0
