stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,270.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.77,0,0,0,0,0,0,0,0,0,0
  5-6,8.36,143.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.33,0,0,0,0,0,0,0,0,0,0,0,0,54.26,0,0,0,0,0,0,0,0,0,0,24.98,0,0,0,24.34,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.57,0,0,0,0,0,0,0,0,0,0,0,11.55,0,0,0,0,0,0,0,0,0,0,48.09,0,0,0,15.07,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,2.26,8.65,0.92,0,4.57,0,0,0,1.32,0,6.57,0,0,16.75,0,1.88,0,4.95,0,0,2.78,272.48,0,3.84,0.96,0.96,0,3.88,0.81,0,0,2.77,161.7,0,0,0,0,0
 24-34,0,0,3.6,0,12.15,0.62,0,21.72,0,2,0,6.59,0,1.82,0.67,0,31.56,0.85,0,0,11.26,6.31,0,5.23,678.66,0,56.08,0,0,0,15.67,0,0,0,0.62,299.53,0,0,1.13,0,0
 36-46,0,0,0,0,6.05,0,0,127.16,0,6.45,0.96,33.92,0,0,1.34,0.64,3.78,0,0,1.44,26.69,2.21,1.72,1.39,1118.65,4.91,36.63,0,0,8.6,16.64,0,0.82,9.64,0,535.67,0,0,1.54,0,5.62
 48-58,0,0,0.4,0,1.59,1.4,0,267.93,0,0,3.71,74.5,0,0,0.66,0.38,0,0,0.39,1.75,51.56,0.59,1.65,5.21,1089.95,0,28.98,0,0,0,2.41,0,0,0,0,480.51,0,0,1.21,0,2.05
 60-70,0,0,0.62,0,0.9,0,0,253.67,5.33,0,0,69.59,0.63,0,0,0.69,10.12,0,0,0,15.7,0,2.21,4.17,867.15,0,21.91,0,0,0,8.1,0,0,0,0,319.98,0,0,0,0,6.73
 72-82,0,0,4.91,0,12.03,1.81,0,250.38,0,1.14,0.59,58.38,2.01,0.59,0,0,5.36,0.72,0,0,46.44,0,2.83,4.16,949.81,0,34.07,4.19,0,0,0,0,0,0,0,304.51,0,0.52,0.85,2.56,6.69
 84-94,0,0,12.02,0,8.06,4.29,0,178.58,3.35,0,2.66,60.08,0,0,0,0.67,13.05,1.25,0,4.3,59.42,1.01,5.8,3.86,651.34,0,29,1.47,0,0,3.11,0,0,0,0,139.28,0,1.04,0,2.18,0
 96-106,0,0,9.34,0,9.83,3.17,3.52,223.49,0.93,0,1.04,97.95,2.97,0,1.55,1.69,2.14,2.86,8.6,0,52.11,1.22,20.78,2.96,737.38,0,33.61,0,0,6.23,14.94,0,0,0.6,0,100.89,0,1.59,3.17,3.99,0
108-118,0,0,4.41,0,12.34,4.16,0,163.14,0,0.45,0,97.43,1.99,0,2.3,1.49,14.38,1.14,0.7,0,50.61,1.47,3.74,7.29,916.91,0,18.47,0,0,4.05,3.89,0,0.52,0,0,138.05,2.05,2.58,0,1.54,0
120,1.19,0,3.9,0,10.15,2.43,0,102.84,7.96,0,4.44,131.12,3.16,0,0,7.6,7.92,0,0,0,32.94,0,2.61,9.88,964.14,0,54.48,0,0,0,0,0,0,0,0,204.18,1.27,0,0,14.19,0
