stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  3-4,12.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.73,0,914.77,0,0,0,0,0,0,0,0,0.65,0,0,0,7.21,0.79,1.21,2.66,79.74,0.64,0.68,0,0,2.79,0,6.43,0,1.98
 36-46,0,3.44,1.52,0,3652.17,1.65,0,0,5.15,0,0,2.22,0,2.26,0,0,0,8.65,0,0.6,1.82,109.79,7.42,4.99,0,5.06,0,4.29,28.44,3.61,0
 48-58,0,0,1.34,3.59,3108.81,0.68,3.2,0,3.03,0,0,0,0,0,0,0,0,13.02,0,0,1.31,150.61,2.93,7.15,0,4.73,0,0,27.72,0.74,4.3
 60-70,0,0,1.63,0,5094.08,0,3.89,0,6.33,0,9.59,0,1.27,0,0,1.92,6.07,24.82,0,0,0.68,97.97,0,0,0.86,5.2,0.59,0,5.37,0,4.46
 72-82,0,0.64,10.58,3.86,4100.22,0,0,4.01,14.72,0.6,0,0,0.49,0,0,0,0,12.57,0,0,0.63,96.16,0,1.21,1.39,5.65,0,0,1.18,2.31,16.8
 84-94,0,0,4.01,1.12,3465.33,0,0,0,32.5,0,0,0,0.55,0,0.6,0,0,16.51,0,0,1.87,79.67,0,0,0,3.25,0,0,17.69,6.89,0
 96-106,0,0,0,1.55,1422.33,0,0,0,7.94,2.48,0,0,0.94,0,0.86,2.01,0,6.68,0,0.73,0,18.33,0,0,0,2.64,0,0,0,2.08,0
108-118,0,0,4.36,0,1846.72,0,0,0.56,12.04,0,0,0,0,0,1.31,4.18,0,28.16,0,0,0,51.2,1.12,0.52,5.88,4.48,0,0,0,0,10.16
120,0,0,3.16,1.28,1582.13,0,0,0,0,0,0,0,0,0,0,10.24,0,13.06,0,0,2.4,14.1,0,0,0,0,0,0,0,0,0
